var,GEOID,NAME,tot_popE_13,pop_3t4E_13,med_incE_13,giniE_13,less_hsE_13,hs_degE_13,some_colE_13,ba_degE_13,grad_degE_13,tot_degE_13,his_popE_13,wh_popE_13,bl_popE_13,as_popE_13,es_3t4E_13,pop_18t24E_13,pop_u18E_13,hs_18t24E_13,emp_r25t29E_13,emp_r30t34E_13,emp_r35t44E_13,emp_r45t54E_13,empE_13,emp_pubtrE_13,pop_bpE_13,bp_u18E_13,TYPE,tot_popE_18,pop_3t4E_18,med_incE_18,giniE_18,less_hsE_18,hs_degE_18,some_colE_18,ba_degE_18,grad_degE_18,tot_degE_18,his_popE_18,wh_popE_18,bl_popE_18,as_popE_18,es_3t4E_18,pop_18t24E_18,pop_u18E_18,hs_18t24E_18,emp_r25t29E_18,emp_r30t34E_18,emp_r35t44E_18,emp_r45t54E_18,empE_18,emp_pubtrE_18,pop_bpE_18,bp_u18E_18,wh_per_18,bl_per_18,as_per_18,his_per_18,wh_per_13,bl_per_13,as_per_13,his_per_13,adj_med_inc_13,emp_r_13,emp_r_18,hs_18t24_per_13,hs_18t24_per_18,es_3t4_per_13,es_3t4_per_18,emp_pubtr_per_13,emp_pubtr_per_18,bp_per_13,bp_per_18,cbp_per_13,cbp_per_18,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_some_col,per_ba_deg,per_grad_deg,per_wh,per_bl,per_as,per_his,per_emp_r,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
nbr.val,,,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727
nbr.null,,,5,42,7,6,25,6,5,9,39,5,12,6,71,284,625,10,10,135,6,7,10,45,6,574,15,147,,4,31,11,8,21,7,5,8,28,4,11,7,55,228,630,8,8,129,13,10,8,12,4,536,13,131,7,55,228,11,6,71,284,12,7,12,11,135,129,625,630,574,536,15,13,147,131,4,11,11,11,6,5,7,15,6,27,142,7,15,52,350,318,8,47
nbr.na,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
min,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.884615384615385,-0.629229629622322,-0.559706470980654,-0.382220183575775,-0.763736263736264,-0.246726528756536,-0.266044134021662,-0.167099059282407,-0.627954508661162,-0.333250846314945,-0.200501624615815,-0.31632957688791,-36.675,-16.6666666666667,-1,-0.195000240373059,-0.311172139639436,-Inf
max,,,2412481,80606,250001,0.697,342339,348439,390096,278670,153405,1512949,928418,945390,524707,125880,10466,239199,94,100,100,100,100,100,1117635,30339,454926,189500,,2586552,79241,250001,0.634,351441,372587,418128,322294,184260,1648710,1033000,958302,572790,158780,11201,250073,687769,42130,100,100,100,100,1260913,34940,423899,173086,1,0.901773533424284,0.70350208673562,1,1,0.993125,0.702198952879581,0.985653354013184,269507.705388137,93.225,98.1,50,1,1,1,0.39344262295082,0.561855670103093,0.81994459833795,0.677231329690346,Inf,0.818331957060281,Inf,0.962707109858761,0.964432796705354,0.226186485321584,0.381086142322097,0.763736263736264,0.284916201117318,0.208970057201291,0.276653849577725,0.244492090951702,0.304965239831679,0.698717948717949,40.6,0.68985457538757,0.944444444444444,0.168413047152273,0.284713871401288,0.666666666666667
range,,,2412481,80606,250001,0.697,342339,348439,390096,278670,153405,1512949,928418,945390,524707,125880,10466,239199,94,100,100,100,100,100,1117635,30339,454926,189500,,2586552,79241,250001,0.634,351441,372587,418128,322294,184260,1648710,1033000,958302,572790,158780,11201,250073,687769,42130,100,100,100,100,1260913,34940,423899,173086,1,0.901773533424284,0.70350208673562,1,1,0.993125,0.702198952879581,0.985653354013184,269507.705388137,93.225,98.1,50,1,1,1,0.39344262295082,0.561855670103093,0.81994459833795,0.677231329690346,Inf,0.818331957060281,Inf,1.59193673948108,1.52413926768601,0.608406668897359,1.14482240605836,1.0104627924928,0.550960335138981,0.376069116483698,0.904608358238888,0.577742937266648,0.505466864447494,1.01504752560586,77.275,17.3565212420542,1.94444444444444,0.363413287525332,0.595886011040723,Inf
sum,,,24996189,803116,111486968,687.9568,2562106,3532705,4571160,3404556,1677049,15747576,7067231,12100788,3812241,1427394,93366,2351935,16127.5,33192.1,142689.6,140375.1,116549.1,52130.3,11881007,175249,3643511,1454066,,27589740,800748,127103475,696.2396,2651844,3891520,4996592,4042929,2141698,17724583,8081303,12506636,4377823,1886915,98157,2553343,7311814,379476,142396.8,142081.3,142705,139630.4,13624178,203502,3454785,1322309,830.846649834213,253.093990786588,102.361839160182,492.023177822036,889.699443064455,245.056559042975,86.6891581032864,460.225715885833,120185906.961815,112625.25,141531.325,191.615576955136,268.79054890186,195.382396650572,205.913990590891,27.7051481456226,26.9432444645767,252.765570738752,221.285294411403,Inf,307.719589074737,Inf,132.513833790884,41.1732768090277,-18.0513642834919,-4.42322273806024,-13.7358453602688,15.7065147785471,20.5039176032738,-58.852793230242,8.03743174361283,15.6726810568953,30.7974619362036,28744.575,124.949165495111,9.19762178002663,-0.761903681045849,-31.480276327349,-Inf
median,,,4962,151,57045,0.3929,435,702,892,636,284,3134,1101,2335,440,135,12,447,8.6,16.8,84.5,83.9,69.3,29.5,2355,17,621,223,,5315,146,65249,0.3993,443,779,970,760,352,3467,1342,2338,542,170,13,475,1398,67,84.6,84.3,84.4,83.4,2617,21,594,195,0.51662544655125,0.0905280804694049,0.0283047274917194,0.213246362267938,0.552889422115577,0.0820360761057573,0.0249451754385965,0.193803907762718,61496.0222313762,66.7,83.85,0.0330882352941177,0.141233766233766,0.0760233918128655,0.0825242718446602,0.00580093629147161,0.00610565436687019,0.116107175854635,0.101467682754728,26,0.137420718816068,0.0762124711316397,0.0595927203284225,0.00988189925283199,-0.00581526651101586,-0.00504553156829213,-0.00746906454093382,0.0081810267910446,0.00887168583837611,-0.035321834392841,0.00509220211493305,0.00271324402238426,0.0158199356210514,17.025,0.101729195615254,0,0,-0.0110710381140279,-25.5326215895611
mean,,,14473.7631731326,465.035321366532,64555.2796757383,0.398353676896352,1483.55877243775,2045.57324840764,2646.87898089172,1971.37000579039,971.076433121019,9118.45744064852,4092.20092646207,7006.82570932253,2207.43543717429,826.516502605675,54.0625361899247,1361.86160972785,9.33844817602779,19.2195136074117,82.6228141285466,81.282628836132,67.486450492183,30.1854661262305,6879.56398378691,101.475969889983,2109.73422119282,841.960625361899,,15975.529820498,463.664157498552,73597.8430804864,0.403149739432542,1535.52055587724,2253.34105385061,2893.22061378112,2341.0127388535,1240.12623045744,10263.2211928199,4679.38795599305,7241.82744643891,2534.92935726694,1092.59698899826,56.836711059641,1478.48465547192,4233.82397220614,219.731325998842,82.4532715691951,82.2705848291836,82.6317313259989,80.8514186450492,7888.92762015055,117.83555298205,2000.45454545455,765.668210770122,0.48109244344772,0.146551239598488,0.0592714760626414,0.284900508293015,0.515170493957415,0.141897254801954,0.0501963856996447,0.266488544230361,69592.3028151794,65.2143891140706,81.9521279675738,0.110952852898168,0.155640155704609,0.113133987637853,0.119232189108796,0.0160423556141416,0.0156011838243062,0.146361071649538,0.128132770359816,Inf,0.178181580240149,Inf,0.0767306507185198,0.0238409246143762,-0.0104524402336374,-0.00256121756691386,-0.00795358735394834,0.0090946814004326,0.0118725637540671,-0.0340780505096943,0.00465398479653319,0.00907509036299671,0.0178329252670548,16.6442240880139,0.0723504142994273,0.00532577983788456,-0.000441171789835466,-0.0182283012897215,-Inf
SE.mean,,,2083.31917866452,69.1761766548692,793.524971827542,0.00173348986892436,263.625765504857,297.698412765383,362.612338765155,270.267081292065,138.712940048021,1308.42716286558,715.081384587543,884.247432867089,402.544424249722,120.385811892332,8.40577271121092,204.376057516686,0.140577974950999,0.342036060876306,0.240246664991891,0.295549314891735,0.33042507704756,0.364483831373828,979.177086412361,22.6107299777262,368.722306239536,151.404837550721,,2271.15136900967,68.1925923593948,903.868336911147,0.00163179035575384,270.159385890067,325.543148496411,393.122405328358,318.458130346627,173.574987173109,1452.65884692271,798.983934226199,907.445744080097,445.469366028692,157.43920459834,8.99800717530066,217.358114322571,602.687069702462,34.3933681298053,0.334705165721206,0.311554932510586,0.268900851450173,0.294540876399622,1114.59232372702,26.2942296813267,344.720303539608,137.586911597522,0.00629149485313698,0.00396321868652761,0.00201920876215222,0.00517231782547467,0.00636544263667225,0.00419539704947042,0.00173963065520595,0.00508322873574367,855.440955537886,0.241619071657645,0.251166394143075,0.0309755376331425,0.00269805668757118,0.00341805471645902,0.00354870626913419,0.000690072853799557,0.000674155643773213,0.00283487002922977,0.00242309378343658,,0.00377267706123143,,0.00404267996299821,0.00323039300339159,0.00129309449163744,0.00145642539554796,0.00149732620383987,0.00117436877949402,0.000902299702436297,0.00176399913222936,0.00128870624972654,0.000862902596428831,0.00181861789921113,0.178843831567252,0.0113476767273745,0.00452361961207011,0.000511797099233326,0.00155499476640107,
CI.mean.0.95,,,4086.09591581641,135.677958421355,1556.37176467667,0.00339996191945083,517.059591619511,583.887615975113,711.205854401405,530.085465711042,272.063149807145,2566.26970129248,1402.51726905934,1734.30929883989,789.526225604975,236.117431900584,16.4865729151389,400.850806953603,0.275721116180209,0.670848790584509,0.471205241455688,0.579672505715422,0.648075710930118,0.714876486526859,1920.49856528242,44.3473147858408,723.18957413025,296.956268000868,,4454.49858483046,133.748815823447,1772.79255032632,0.00320049466082704,529.874238479632,638.500592283658,771.046448992921,624.604467281884,340.439455192159,2849.15698097229,1567.07864252342,1779.80905983286,873.716603673756,308.79170963666,17.6481456831072,426.3130260109,1182.07387482758,67.4570668218277,0.65647041733316,0.611064953618882,0.527405825339949,0.577694615603252,2186.09380090322,51.5719077569673,676.11350138634,269.854625880616,0.0123397565226959,0.0077732168235924,0.00396035363217838,0.0101446705614857,0.012484793221528,0.00822859738662725,0.00341200608531944,0.00996993662276822,1677.8100208755,0.473896996674574,0.492622536099457,0.0607535413244438,0.00529180479142561,0.0067039652684968,0.00696021730190979,0.00135346705315394,0.00132224800254186,0.0055601421841331,0.00475250922352052,,0.00739950003315088,,0.00792906735315945,0.00633589696327844,0.00253619712963594,0.00285654446106269,0.00293676482644247,0.00230333571672339,0.00176971592578087,0.00345980093858042,0.00252759029803117,0.00169244483088542,0.0035669268763516,0.350773447112582,0.0222566450712815,0.00887235321926789,0.00100380779782604,0.00304987244834002,
var,,,7495557867.93056,8264288.08044345,1087460608.33831,0.00518961276602069,120023985.899064,153054243.75115,227079272.104118,126147497.862437,33229690.1053945,2956592293.18576,883086574.629941,1350330113.41283,279846557.30507,25028968.3784934,122024.664684873,72136052.3742322,34.129262480366,202.039427805,99.6797804886068,150.852409539446,188.555123372837,229.429296175996,1655826472.84049,882920.305186993,234796252.257826,39588754.6879041,,8908087990.2284,8030946.61020356,1410920955.00259,0.00459855157438166,126046983.965829,183024595.827416,266899604.561382,175144708.013743,52031532.9492942,3644346012.01246,1102474189.99077,1422111583.38156,342710985.132898,42807327.1306514,139825.057909918,81591337.6114388,627301152.784755,2042874.81305635,193.471575327714,167.633804003084,124.875342481654,149.824724231935,2145479815.08804,1194024.51060084,205223015.410302,32692383.2855648,0.0683596812301339,0.0271261657709563,0.00704133135143805,0.0462022094046976,0.0699760711522411,0.0303975425074717,0.00522644568815123,0.0446243232340703,1263782727.46678,100.821872787089,108.947030883383,1.65702874998067,0.0125717135789033,0.0201767103232103,0.0217486570507909,0.000822398338712689,0.000784897031918011,0.0138790149186938,0.0101398792757091,,0.0245805502438063,,0.0282248122361334,0.018022003077636,0.00288770524015145,0.00366326910894045,0.00387190940873843,0.00238177828624224,0.00140602798845972,0.00537389370479977,0.00286813907929149,0.00128592573862509,0.00571182982637282,55.2382954868354,0.222385387797238,0.0353398330996561,0.000452363939643359,0.00417590106554443,
std.dev,,,86576.8899183296,2874.76748284856,32976.6676354405,0.0720389669971793,10955.5458968992,12371.5093562245,15069.1496808585,11231.5403156663,5764.51993711484,54374.555567708,29716.7726146353,36746.8381417072,16728.6149248846,5002.89599916823,349.320289540807,8493.29455360122,5.84202554602135,14.2140574012138,9.98397618630006,12.282198888613,13.7315375458409,15.1469236538644,40691.8477442409,939.638390651954,15323.0627570935,6291.95952688065,,94382.667848649,2833.89248388212,37562.2277694307,0.0678126210552406,11227.0647974361,13528.6583158647,16337.0622989992,13234.2248739298,7213.28863621124,60368.4189954686,33203.5267703714,37710.8947571065,18512.4548651144,6542.73086185359,373.931889399551,9032.79234851764,25045.9807710689,1429.2917172699,13.9094060019727,12.9473473732299,11.1747636432121,12.2402910190867,46319.3244239166,1092.71428589583,14325.6069822644,5717.7253594034,0.26145684391527,0.164700230027029,0.08391264118974,0.214946992081065,0.264529905969516,0.174348910256049,0.0722941608164258,0.211244699895809,35549.7219042116,10.0410095501941,10.4377694400376,1.2872562876058,0.112123653075091,0.142044747608668,0.147474258943013,0.0286774883613033,0.0280160138477623,0.117809231041942,0.10069696755965,,0.156781855594984,,0.168002417352053,0.134246054234886,0.0537373728437802,0.0605249461704879,0.0622246688118019,0.0488034659244837,0.0374970397292869,0.0733068462341667,0.0535550098430715,0.0358598067287749,0.0755766486844503,7.43224700119926,0.471577552261808,0.18798891749158,0.021268849043692,0.0646212121949475,
