GEOID,NAME,TYPE,tot_popE_19,pop_3t4E_19,med_incE_19,giniE_19,less_hsE_19,hs_degE_19,ba_degE_19,his_popE_19,wh_popE_19,bl_popE_19,as_popE_19,rohhE_19,thhE_19,es_3t4E_19,empE_19,emp_pubtrE_19,pop_bpE_19,bp_u18E_19,pop_o25E_19,pop_u18E_19,pop_18t24E_19,wh_per_19,bl_per_19,as_per_19,his_per_19,emp_r_19,hs_18t24_per_19,es_3t4_per_19,emp_pubtr_per_19,bp_per_19,cbp_per_19,rohh_per_19,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_wh,per_bl,per_as,per_his,per_emp_r,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
4850920,"New Fairview city, Texas",PLACE,1347,50,72500,0.339,49,379,80,212,977,6,0,42,400,3,614,0,55,14,848,415,84,0.725315515961396,0.0044543429844098,0,0.157386785449146,0.73725,1,0.06,0,0.0408314773570898,0.0337349397590361,0.105,-0.464791666666667,0.235779816513762,0.230923236570882,0.063696266080954,-0.581196581196581,0.49802371541502,0.415942028985507,-0.625,-1,-0.175097276264591,0.1965,0.333333333333333,-0.857142857142857,0,-0.214285714285714,-0.416666666666667
4811428,"Burleson city, Texas",PLACE,45862,1278,79784,0.3689,1082,7241,6575,5318,36358,2094,633,4620,15708,146,23186,59,2616,894,29555,12820,3487,0.792769613187388,0.0456587152762636,0.0138022763944006,0.115956565348219,0.80875,0.381416690564956,0.114241001564945,0.0025446390062969,0.057040687279229,0.0697347893915757,0.294117647058824,0.0528450399567386,0.16593364687937,0.069275041600192,0.0137400384721077,-0.219336219336219,0.252768166089965,0.123686487822969,0.592395437262358,1.57317073170732,0.0910956093557653,0.1615,0.224677716390424,-0.0817610062893082,-0.702020202020202,-0.210621605310803,-0.32781954887218
4815364,"Cleburne city, Texas",PLACE,30289,852,50848,0.4318,2815,5523,2341,9281,19018,1274,281,4237,11121,4,13271,49,3953,1736,19495,7625,3169,0.627884710621018,0.0420614744626762,0.00927729538776454,0.306414870084849,0.7545,0.624171662985169,0.00469483568075117,0.00369226132167885,0.130509425864175,0.227672131147541,0.380990918082906,-0.0500119540793299,0.017604569124811,-0.0244201930898989,0.0606730533038565,-0.108048162230672,0.287112561174551,-0.0363802188893393,0.298674821610601,0.502673796791444,0.226023778071334,0.192,0.259872611464968,-0.956521739130435,1.04166666666667,-0.222921171613918,-0.199631166436146
4838548,"Keene city, Texas",PLACE,6396,178,47813,0.4162,305,827,785,1903,3275,366,191,1091,2009,22,2858,0,547,86,3714,1415,1267,0.512038774233896,0.0572232645403377,0.0298624140087555,0.297529706066291,0.76525,0.205209155485399,0.123595505617978,0,0.0855222013758599,0.0607773851590106,0.543056246888999,0.0766885242007494,0.0504187879783216,0.370034545283663,-0.111063648013669,-0.381338742393509,0.117567567567568,0.377207737594617,-0.207792207792208,2.41071428571429,-0.322534709861161,0.1575,0.368421052631579,Inf,-1,-0.722757222503801,-0.902824858757062
4846452,"Mansfield city, Texas",PLACE,69557,2115,99510,0.3751,1933,5673,16171,12678,38387,12847,3142,5493,22527,183,34995,37,2650,832,43577,20337,5643,0.551878315626033,0.184697442385382,0.0451715858935837,0.182267780381558,0.83575,0.476696792486266,0.0865248226950355,0.00105729389912845,0.0380982503558233,0.0409106554555736,0.243840724463977,0.162896440535448,0.163997523302709,0.0263426926380564,-0.0835572929391645,0.135055783910746,-0.065865305450354,-0.00373725052555086,0.406657177269243,0.225429017160686,0.583166833166833,0.1745,0.959213401310998,0.345588235294118,-0.244897959183673,-0.321209016393443,-0.430916552667579
4875236,"Venus town, Texas",PLACE,3692,167,68125,0.3289,317,1105,297,802,2245,522,23,157,905,12,1329,0,200,72,2570,816,306,0.60807150595883,0.141386782231853,0.0062296858071506,0.217226435536295,0.4615,0.790849673202614,0.0718562874251497,0,0.0541711809317443,0.0882352941176471,0.173480662983425,-0.136933701657459,0.187138263665595,0.274986936647607,-0.14259645464025,-0.335429769392034,0.7265625,0.20504562533548,0.117773019271949,-0.774509803921569,0.385146804835924,0.0665000000000001,3.17241379310345,0.2,0,-0.115044247787611,-0.1
4830512,"Grandview city, Texas",PLACE,1841,43,45964,0.407,125,324,132,411,1367,44,9,230,613,0,715,0,283,117,1121,561,159,0.74253123302553,0.0239000543183053,0.0048886474741988,0.223248234655079,0.7015,0.792452830188679,0,0,0.153720803910918,0.20855614973262,0.375203915171289,-0.0417586284105811,0.258373205741627,-0.00187013627760368,-0.0145278450363196,-0.233128834355828,0.231939163498099,0.283568075117371,-0.333333333333333,Inf,0.241691842900302,0.249,2.70588235294118,0,0,-0.235135135135135,-0.295180722891566
4833824,"Highland Park town, Texas",PLACE,9168,320,211136,0.5558,18,49,4038,248,8157,28,522,621,3656,4,3877,22,210,14,6458,2379,331,0.889725130890052,0.00305410122164049,0.0569371727748691,0.0270506108202443,0.79675,0.314199395770393,0.0125,0.00567449058550426,0.0229057591623037,0.0058848255569567,0.169857768052516,-0.0736510860522509,0.0422919508867667,0.0132176686549412,0.013124316441852,-0.73134328358209,-0.570175438596491,0.0441628264208909,Inf,1.62311557788945,-0.57167530224525,0.203,0.155555555555556,-0.851851851851852,Inf,-0.512761020881671,-0.9
4826604,"Forney city, Texas",PLACE,21459,774,102716,0.2966,840,2976,3262,3816,13780,3068,470,971,6549,56,10861,48,939,310,13037,6826,1596,0.642154806840953,0.142970315485344,0.0219022321636609,0.177827484971341,0.8395,0.347117794486216,0.0723514211886305,0.00441948255225117,0.0437578638333566,0.0454145912686786,0.148266910978775,0.0746707199474434,0.339764000749204,0.308559422784598,-0.169420330439653,1.04379562043796,0.291106290672451,0.204966771598461,1.99025341130604,8.03846153846154,0.332867621376179,0.20425,0.950704225352113,0.12,Inf,-0.292921686746988,-0.511041009463722
4808872,"Blue Ridge city, Texas",PLACE,834,38,59792,0.4415,89,125,48,199,615,2,0,108,270,0,406,0,143,90,450,308,76,0.737410071942446,0.00239808153477218,0,0.238609112709832,0.8335,0.105263157894737,0,0,0.171462829736211,0.292207792207792,0.4,0.356,-0.192642787996128,0.23688478469533,0.183328866255696,0.289855072463768,-0.5,-0.360041623309053,Inf,0,2.49122807017544,0.35,-0.813953488372093,0,0,-0.0337837837837838,2.33333333333333
4813684,"Celina city, Texas",PLACE,11116,452,124375,0.435,142,711,2718,1328,8531,995,77,668,3466,0,5738,0,73,0,6843,3580,693,0.767452320978769,0.0895106153292551,0.00692695214105793,0.119467434328895,0.89425,0.352092352092352,0,0,0.00656711047139259,0,0.192729371032891,-0.103148975414274,0.695028972247637,0.301265955220758,0.193743139407245,0.234782608695652,-0.175174013921114,0.779516061743847,3.27038626609442,0.1,-0.0192023633677991,0.2585,0.659863945578231,-1,0,-0.923399790136411,-1
4841800,"Lavon city, Texas",PLACE,3271,110,89474,0.313,37,381,612,569,2061,423,114,117,1038,9,1751,7,67,20,2030,1091,150,0.630082543564659,0.129318251299297,0.0348517273005197,0.173952919596454,0.90875,0.493333333333333,0.0818181818181818,0.00399771559109081,0.020483032711709,0.0183318056828598,0.11271676300578,-0.322760115606936,0.381918039712717,0.100684172507524,0.128741435268662,-0.362068965517241,0.26158940397351,0.267527675276753,-0.0208333333333333,1.23529411764706,1.96354166666667,0.31825,1,Inf,Inf,2.19047619047619,Inf
4847496,"Melissa city, Texas",PLACE,9487,216,118348,0.3118,197,1041,1473,1037,7601,467,259,252,2705,0,4583,0,103,22,5596,3069,822,0.801201644355434,0.049225255612944,0.027300516496258,0.109307473384632,0.9015,0.141119221411192,0,0,0.0108569621587435,0.00716845878136201,0.0931608133086876,-0.110447319778189,0.671718061674009,0.0681393249064876,-0.0636636636636637,0.841121495327103,0.732113144758736,0.943492712861161,-0.432563791008506,0.227488151658768,0.434301521438451,0.303,0.0642201834862385,0,0,-0.1953125,-0.576923076923077
4838068,"Josephine city, Texas",PLACE,1366,15,61250,0.3569,47,376,135,201,944,134,12,75,532,0,741,0,95,30,938,324,104,0.691068814055637,0.0980966325036603,0.00878477306002928,0.14714494875549,0.8825,0.288461538461538,0,0,0.0695461200585652,0.0925925925925926,0.140977443609023,0.0987947810703229,0.72692793931732,-0.209575429087624,0.118107769423559,-0.12962962962963,1.45751633986928,0.443425076452599,5.38095238095238,2,1.01,0.25675,-0.583333333333333,-1,0,2.95833333333333,2
4848858,"Mobile City city, Texas",PLACE,125,12,34583,0.3535,12,13,2,81,44,0,0,46,47,0,50,0,52,32,75,43,7,0.352,0,0,0.648,0.723,0,0,0,0.416,0.744186046511628,0.978723404255319,0.0486322188449848,-0.491869918699187,0.164410774410774,-0.165289256198347,-0.828571428571429,-0.551724137931035,-0.0638297872340426,-1,0,-0.571428571428571,0.09025,-1,-1,0,-0.555555555555556,-0.5
4845804,"McLendon-Chisholm city, Texas",PLACE,2912,83,147542,0.4401,43,248,715,219,2589,20,32,51,949,13,1352,5,31,0,1862,873,177,0.88907967032967,0.00686813186813187,0.010989010989011,0.075206043956044,0.82,0.564971751412429,0.156626506024096,0.00369822485207101,0.0106456043956044,0,0.053740779768177,-0.418447990365799,0.616879511382565,0.150424951267056,0.15511811023622,0.162162162162162,0.198067632850242,0.732931726907631,-0.51219512195122,-0.0303030303030303,0.335365853658537,0.18175,6.14285714285714,Inf,Inf,-0.446428571428571,-1
4817648,"Cresson city, Texas",PLACE,986,8,63839,0.4225,59,180,95,86,859,21,0,63,333,2,429,0,183,78,716,175,95,0.871196754563895,0.0212981744421907,0,0.0872210953346856,0.7545,0.715789473684211,0.25,0,0.185598377281947,0.445714285714286,0.189189189189189,0.115427927927928,0.345156889495225,-0.156291961387594,-0.239423942394239,0.512820512820513,0.118012422360248,0.331782945736434,Inf,-1,0.194444444444444,0.15675,1.95652173913043,1,0,0.418604651162791,0.659574468085106
4859748,"Providence Village town, Texas",PLACE,7141,210,95539,0.316,183,750,1450,797,5227,802,121,586,2123,13,3640,0,959,693,4150,2565,426,0.731970312281193,0.112309200392102,0.0169444055454418,0.11160901834477,0.82975,0,0.0619047619047619,0,0.134294916678336,0.270175438596491,0.276024493641074,0.495667605078377,0.435376884422111,0.031711475421166,0.262989608313349,1.859375,0.243781094527363,0.47947919615058,0.706382978723404,7.64285714285714,-0.0881006864988558,0.126,-1,-0.775862068965517,-1,4.91975308641975,11.6
4873592,"Trenton city, Texas",PLACE,695,17,49167,0.4082,46,124,40,139,477,37,37,59,282,4,325,0,79,32,470,165,60,0.686330935251799,0.0532374100719424,0.0532374100719424,0.2,0.804,0.766666666666667,0.235294117647059,0,0.113669064748201,0.193939393939394,0.209219858156028,-0.426034017448064,-0.177514792899408,0.0405714285714286,-0.115876110028157,-0.525773195876289,-0.283236994219653,-0.163157894736842,-0.274509803921569,6.4,-0.341232227488152,0.24875,1.09090909090909,0,0,-0.606965174129353,-0.36
4874756,"Valley View city, Texas",PLACE,953,41,67361,0.4211,65,128,98,101,820,4,12,117,332,10,509,2,39,13,570,268,115,0.860440713536202,0.00419727177334732,0.012591815320042,0.10598111227702,0.86825,0.226086956521739,0.24390243902439,0.00392927308447937,0.0409233997901364,0.0485074626865672,0.352409638554217,-0.142297129695252,-0.0720545277507303,-0.0863222738735455,0.139339826839827,-0.35,-0.319148936170213,-0.120171673819742,3,-0.294117647058824,0.507462686567164,0.21875,0.130434782608696,Inf,-0.333333333333333,-0.25,0.3
4831616,"Gunter city, Texas",PLACE,1247,47,74750,0.3965,62,186,185,234,956,14,5,108,380,15,578,0,74,14,850,263,134,0.766639935846031,0.0112269446672013,0.00400962309542903,0.187650360866079,0.82675,0.26865671641791,0.319148936170213,0,0.0593424218123496,0.0532319391634981,0.284210526315789,-0.280837452747892,-0.205226258763544,0.123587061087061,0.0464502507257852,-0.645714285714286,0.897959183673469,-0.0224948875255624,-0.548387096774194,Inf,-0.573770491803279,0.1125,-0.294117647058824,2.75,-1,-0.657407407407407,-0.81578947368421
