GEOID,NAME,TYPE,tot_popE_19,tot_popM_19,popf_18t24M_19,pop_3t4E_19,pop_3t4M_19,med_incE_19,med_incM_19,giniE_19,giniM_19,less_hsE_19,less_hsM_19,hs_degE_19,hs_degM_19,ba_degE_19,ba_degM_19,his_popE_19,his_popM_19,wh_popE_19,wh_popM_19,bl_popE_19,bl_popM_19,as_popE_19,as_popM_19,rohhE_19,rohhM_19,thhE_19,thhM_19,hsf_18t24M_19,es_3t4E_19,es_3t4M_19,empE_19,empM_19,emp_pubtrE_19,emp_pubtrM_19,pop_bpE_19,pop_bpM_19,bp_u18E_19,bp_u18M_19,pop_o25E_19,pop_o25M_19,pop_u18E_19,pop_u18M_19,emp_r45t54M_19,pop_18t24E_19,wh_per_19,bl_per_19,as_per_19,his_per_19,emp_r_19,hs_18t24_per_19,es_3t4_per_19,emp_pubtr_per_19,bp_per_19,cbp_per_19,rohh_per_19,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_wh,per_bl,per_as,per_his,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
75098,ZCTA5 75098,ZIP,56376,1166,471,1979,366,94641,6317,0.3373,0.0142,2331,522,6564,815,11585,953,12002,1283,31612,1746,6096,1181,4274,903,3505,448,17367,647,323,226,157,29309,1020,240,131,3660,1129,1499,734,34959,1089,16993,916,2.8,4424,0.560735064566482,0.108131119625373,0.0758124024407549,0.212892010784731,0.8395,0.376130198915009,0.114199090449722,0.00818861100685796,0.0649212430821626,0.0882127935032072,0.201819542811078,0.394832738347801,0.137277843900668,0.0433575296235882,-0.0245806824754193,0.224264705882353,0.0694037145650049,-0.0185351920270732,0.0868247459440185,0.761021837659662,0.525807271802695,0.127371273712737,4.02222222222222,0.678321678321678,0.205136648007903,0.50956696878147
75101,ZCTA5 75101,ZIP,517,117,11,22,15,47143,8133,0.333,0.0573,87,40,76,27,15,15,284,97,168,63,63,41,0,14,49,22,170,39,6,6,6,200,53,0,14,87,46,19,18,342,78,144,46,16.7,31,0.32495164410058,0.121856866537718,0,0.549323017408124,0.76125,0.258064516129032,0.272727272727273,0,0.168278529980658,0.131944444444444,0.288235294117647,0.126252723311547,-0.221385542168675,0.31502458052437,-0.129639309984318,-0.112244897959184,-0.441176470588235,-0.314285714285714,-0.32258064516129,0,-0.0627062706270627,-0.529411764705882,Inf,0,-0.330769230769231,-0.5
75103,ZCTA5 75103,ZIP,14530,1008,170,243,104,61083,7060,0.463,0.0619,835,217,2196,365,1293,332,1277,394,12380,946,310,196,228,87,938,216,5464,328,120,0,21,5546,528,0,21,1343,440,333,212,10561,649,3065,453,9,904,0.852030282174811,0.0213351686166552,0.015691672401927,0.0878871300757054,0.68175,0.444690265486726,0,0,0.0924294562973159,0.108646003262643,0.171669106881406,-0.270444580568228,0.114520211705147,0.260015891757821,0.0355625139789757,0.172752808988764,-0.142522452167122,0.073441428943033,0.26530612244898,0.688888888888889,0.624681933842239,0.0281329923273657,-1,-1,-0.297961317302666,-0.331325301204819
75104,ZCTA5 75104,ZIP,49171,299,364,1374,369,73171,3203,0.3967,0.0201,2211,388,6359,641,7756,737,11368,1239,8498,623,25923,1171,1531,570,4639,481,15621,510,159,204,132,23951,750,261,165,4865,973,2162,630,30676,786,14402,774,3.7,4093,0.172825445892904,0.527200992454902,0.0311362388399667,0.231193182973704,0.8305,0.454434400195456,0.148471615720524,0.0108972485491211,0.0989404323686726,0.150118039161228,0.296972024838359,0.0499635781787835,0.0502584476056218,-0.00671574241044547,0.030925155925156,0.191913746630728,0.235236985236985,-0.206535947712418,0.0669657556799473,0.191439688715953,0.226056945642796,0.345875542691751,0.152542372881356,2.67605633802817,0.0720581754076686,0.112139917695473
75105,ZCTA5 75105,ZIP,161,125,3,0,14,42212,12890,0.2625,0.1143,4,8,26,36,12,15,82,122,67,41,12,15,0,14,4,6,51,26,3,0,14,69,67,0,14,4,5,0,14,95,49,27,42,21.2,39,0.416149068322981,0.0745341614906832,0,0.509316770186335,0.34525,0.717948717948718,0,0,0.0248447204968944,0,0.0784313725490196,0.380392156862745,0.0878378378378378,1.01231453355224,-0.446319341910989,-0.2,0.130434782608696,-0.484615384615385,0,0,12.6666666666667,27,0,0,-0.777777777777778,-1
75110,ZCTA5 75110,ZIP,28558,624,175,876,150,44906,4929,0.4676,0.021,3534,419,3512,399,1914,358,9963,530,12740,725,4329,480,307,94,3692,425,9935,421,180,91,75,12288,665,76,88,4955,1052,1771,609,18179,512,7767,358,5.1,2612,0.446109671545626,0.151586245535402,0.0107500525246866,0.348868968415155,0.73725,0.525267993874426,0.103881278538813,0.00618489583333333,0.173506548077596,0.228015964980044,0.371615500754907,-0.0695963527867476,0.0110100187630545,0.0322392599396645,0.0472564389697649,-0.00113058224985868,-0.0266075388026608,-0.0676911818514453,-0.18673680255495,0.0622837370242215,0.168269230769231,0.209876543209877,1.67647058823529,8.5,-0.267878250591017,-0.408878504672897
75114,ZCTA5 75114,ZIP,6829,724,83,223,113,75673,10107,0.409,0.0804,679,248,1334,283,599,132,1600,635,4674,585,377,274,15,16,398,132,2013,199,30,8,12,3358,385,26,32,420,239,114,77,4458,524,1802,251,8.9,569,0.684434031336945,0.0552057402255089,0.00219651486308391,0.23429491872895,0.77075,0.53427065026362,0.0358744394618834,0.00774270399047052,0.0615024161663494,0.0632630410654828,0.197714853452558,0.419592647789369,0.499231613611416,0.136225089473991,0.156347186881538,1.61153846153846,0.739243807040417,0.243085106382979,0.526315789473684,0.875,2.30578512396694,1.02666666666667,-0.272727272727273,3.33333333333333,0.292307692307692,0.325581395348837
75115,ZCTA5 75115,ZIP,52916,99,304,1514,514,72084,3531,0.4039,0.0348,2742,640,6086,813,7989,1016,9629,1609,6741,1240,35266,1537,257,247,6916,600,19183,780,97,221,170,26058,1046,337,216,5327,1334,2358,861,35397,1091,14160,1169,3.6,3359,0.127390581298662,0.666452490740041,0.00485675410083907,0.181967646836496,0.84025,0.536469187258113,0.145970937912814,0.012932688617699,0.100668984806108,0.166525423728814,0.360527550435281,0.0458577513567847,0.0453782176653035,0.150329951474345,-0.0467311777200851,0.453870625662778,0.0406976744186047,-0.182413583990297,0.0209895486523262,0.297979797979798,0.450150602409639,0.491721854304636,1.02752293577982,-0.22883295194508,-0.102140569694927,0.166172106824926
75116,ZCTA5 75116,ZIP,19867,765,232,759,229,45827,3124,0.3953,0.0269,2017,323,2604,466,1635,286,9652,649,4553,641,5164,671,255,137,2877,291,6574,286,152,53,46,8150,508,69,61,3474,833,1394,433,12146,653,5838,570,7.1,1883,0.229174007147531,0.259928524689183,0.0128353551114914,0.485830774651432,0.7225,0.473712161444504,0.069828722002635,0.00846625766871166,0.174862837871848,0.23878040424803,0.437633100091269,0.192550197748707,-0.0263183689472652,-0.165389992183328,0.025953802232027,-0.085675430643699,-0.0713266761768902,-0.252626395272489,0.0588476522452327,0.770833333333333,0.0688815060908084,1.04118993135011,-0.733668341708543,-0.126582278481013,0.372037914691943,0.15973377703827
75119,ZCTA5 75119,ZIP,28598,761,274,839,194,60229,3386,0.4016,0.0184,3315,523,4478,516,2301,402,11738,695,13127,868,3058,479,48,42,2925,334,9509,398,245,174,131,13439,760,0,25,3930,840,1733,523,17983,702,7507,468,5.3,3108,0.459018113154766,0.106930554584237,0.00167843905168194,0.41044828309672,0.78825,0.388674388674389,0.207389749702026,0,0.137422197356458,0.230851205541495,0.307603323167526,-0.189410425706903,0.0738612894746724,0.24475676515764,-0.0692931633835457,0.0958677685950413,0.122587114565054,-0.0870714236038667,0.325530992631123,-0.636363636363636,0.261607910576096,0.0902527075812274,1.175,0,-0.313177210765467,-0.308459696727853
75124,ZCTA5 75124,ZIP,4255,508,42,91,45,54432,10819,0.4342,0.0419,307,109,828,194,276,110,344,243,3717,451,142,125,25,25,319,95,1717,174,26,23,25,1579,275,7,12,515,167,124,61,3270,416,734,182,9.5,251,0.873560517038778,0.0333725029377203,0.00587544065804935,0.0808460634547591,0.6905,0.350597609561753,0.252747252747253,0.00443318556048132,0.121034077555817,0.168937329700272,0.185789167152009,-0.316626974287411,-0.0276508226691042,0.169997910718016,0.166577109081139,-0.0753012048192771,0.0209617755856967,-0.0372960372960373,2.02127659574468,Inf,-0.152709359605911,-0.677655677655678,1.875,0.4,0.0362173038229376,-0.27906976744186
75125,ZCTA5 75125,ZIP,6326,730,126,260,94,63927,3268,0.3872,0.0504,1084,263,780,198,319,118,3595,773,2254,406,450,203,4,9,443,140,2063,249,54,24,27,2612,316,0,19,928,457,353,236,3859,446,1944,430,10.3,523,0.356307303193171,0.0711349984192223,0.000632311097059754,0.568289598482453,0.70975,0.604206500956023,0.0923076923076923,0,0.146696174517863,0.181584362139918,0.214735821619001,-0.10512309821275,0.0252836304700162,0.46764688866298,-0.14203412364281,0.310761789600967,-0.289617486338798,-0.319649864171446,-0.426020408163265,-0.636363636363636,0.863659927423536,0.210727969348659,-0.25,0,-0.370420624151967,-0.397610921501706
