GEOID,NAME,tot_popE,med_incE,giniE,pop_u18E,pop_bpE,bp_u18E,year,bp_per,cbp_per,type
48085030100,"Census Tract 301, Collin County, Texas",6316,56848,0.3735,1527,519,132,2012,0.0821722609246359,0.0864440078585462,Tract
48085030201,"Census Tract 302.01, Collin County, Texas",2308,91750,0.3513,544,45,0,2012,0.0194974003466204,0,Tract
48085030202,"Census Tract 302.02, Collin County, Texas",2108,89202,0.4342,402,150,12,2012,0.071157495256167,0.0298507462686567,Tract
48085030203,"Census Tract 302.03, Collin County, Texas",13828,70058,0.365,4863,1640,963,2012,0.11859994214637,0.198025909932141,Tract
48085030301,"Census Tract 303.01, Collin County, Texas",2583,77212,0.2964,685,119,47,2012,0.046070460704607,0.0686131386861314,Tract
48085030302,"Census Tract 303.02, Collin County, Texas",1967,160035,0.3632,643,0,0,2012,0,0,Tract
48085030303,"Census Tract 303.03, Collin County, Texas",4793,110268,0.4024,1815,414,58,2012,0.0863759649488838,0.0319559228650138,Tract
48085030304,"Census Tract 303.04, Collin County, Texas",2722,86087,0.3518,1084,509,224,2012,0.186994856722998,0.206642066420664,Tract
48085030305,"Census Tract 303.05, Collin County, Texas",8109,96806,0.4125,2397,665,212,2012,0.0820076458256258,0.0884438881935753,Tract
48085030403,"Census Tract 304.03, Collin County, Texas",4959,86181,0.4154,1363,277,132,2012,0.0558580358943335,0.0968451944240646,Tract
48085030404,"Census Tract 304.04, Collin County, Texas",5766,97844,0.3296,1630,739,396,2012,0.128165105792577,0.242944785276074,Tract
48085030405,"Census Tract 304.05, Collin County, Texas",4506,59099,0.3611,1086,369,141,2012,0.0818908122503329,0.129834254143646,Tract
48085030406,"Census Tract 304.06, Collin County, Texas",2574,55662,0.5191,580,193,49,2012,0.074980574980575,0.0844827586206897,Tract
48085030407,"Census Tract 304.07, Collin County, Texas",3743,161492,0.4386,1255,27,18,2012,0.00721346513491851,0.0143426294820717,Tract
48085030408,"Census Tract 304.08, Collin County, Texas",6531,65101,0.3878,1868,761,318,2012,0.116521206553361,0.170235546038544,Tract
48085030504,"Census Tract 305.04, Collin County, Texas",2370,72605,0.5577,461,314,120,2012,0.132489451476793,0.260303687635575,Tract
48085030505,"Census Tract 305.05, Collin County, Texas",2857,83531,0.4497,638,77,0,2012,0.0269513475673784,0,Tract
48085030506,"Census Tract 305.06, Collin County, Texas",2814,117609,0.2056,1099,40,32,2012,0.0142146410803127,0.0291173794358508,Tract
48085030507,"Census Tract 305.07, Collin County, Texas",1779,142917,0.2698,591,56,24,2012,0.031478358628443,0.0406091370558376,Tract
48085030508,"Census Tract 305.08, Collin County, Texas",5744,94717,0.3237,1651,134,38,2012,0.0233286908077994,0.0230163537250151,Tract
48085030509,"Census Tract 305.09, Collin County, Texas",2403,117625,0.3285,735,13,0,2012,0.00540990428630878,0,Tract
48085030510,"Census Tract 305.10, Collin County, Texas",2777,97615,0.2568,778,56,18,2012,0.0201656463809867,0.0231362467866324,Tract
48085030511,"Census Tract 305.11, Collin County, Texas",4834,92273,0.2742,1496,245,80,2012,0.0506826644600745,0.053475935828877,Tract
48085030512,"Census Tract 305.12, Collin County, Texas",4413,157813,0.3049,1877,44,13,2012,0.00997054158169046,0.00692594565796484,Tract
48085030513,"Census Tract 305.13, Collin County, Texas",3948,86845,0.4063,980,297,67,2012,0.0752279635258359,0.0683673469387755,Tract
48085030514,"Census Tract 305.14, Collin County, Texas",6942,85262,0.333,2250,195,49,2012,0.0280898876404494,0.0217777777777778,Tract
48085030515,"Census Tract 305.15, Collin County, Texas",6529,100897,0.2624,2263,395,109,2012,0.0604993107673457,0.0481661511268228,Tract
48085030516,"Census Tract 305.16, Collin County, Texas",5119,76172,0.3839,1728,809,274,2012,0.158038679429576,0.158564814814815,Tract
48085030517,"Census Tract 305.17, Collin County, Texas",5759,108125,0.2692,2155,44,20,2012,0.00764021531515888,0.00928074245939675,Tract
48085030518,"Census Tract 305.18, Collin County, Texas",1803,132163,0.217,747,18,6,2012,0.00998336106489185,0.00803212851405622,Tract
48085030519,"Census Tract 305.19, Collin County, Texas",1440,125804,0.2804,373,15,0,2012,0.0104166666666667,0,Tract
48085030520,"Census Tract 305.20, Collin County, Texas",4378,85566,0.3748,1383,396,83,2012,0.0904522613065327,0.0600144613159798,Tract
48085030521,"Census Tract 305.21, Collin County, Texas",3155,113375,0.2909,1282,0,0,2012,0,0,Tract
48085030522,"Census Tract 305.22, Collin County, Texas",3983,97601,0.2332,1511,123,44,2012,0.0308812452924931,0.029119788219722,Tract
48085030523,"Census Tract 305.23, Collin County, Texas",7842,96250,0.2921,2548,625,219,2012,0.0796990563631727,0.0859497645211931,Tract
48085030524,"Census Tract 305.24, Collin County, Texas",2212,90833,0.3018,702,19,0,2012,0.00858951175406872,0,Tract
48085030525,"Census Tract 305.25, Collin County, Texas",6424,125063,0.3969,2083,353,95,2012,0.0549501867995019,0.0456072971675468,Tract
48085030526,"Census Tract 305.26, Collin County, Texas",7568,100776,0.4235,2743,405,88,2012,0.053514799154334,0.032081662413416,Tract
48085030527,"Census Tract 305.27, Collin County, Texas",3888,93409,0.3355,1189,106,15,2012,0.0272633744855967,0.0126156433978133,Tract
48085030528,"Census Tract 305.28, Collin County, Texas",7116,122847,0.4316,2293,544,81,2012,0.0764474423833615,0.0353249018752726,Tract
48085030529,"Census Tract 305.29, Collin County, Texas",3573,95086,0.3552,1101,116,38,2012,0.0324657150853624,0.0345140781108084,Tract
48085030530,"Census Tract 305.30, Collin County, Texas",6448,91917,0.3364,1984,186,88,2012,0.0288461538461538,0.0443548387096774,Tract
48085030531,"Census Tract 305.31, Collin County, Texas",5415,121440,0.3239,1782,356,166,2012,0.0657433056325023,0.0931537598204265,Tract
48085030601,"Census Tract 306.01, Collin County, Texas",8833,114399,0.3942,2525,263,90,2012,0.0297747084795653,0.0356435643564356,Tract
48085030603,"Census Tract 306.03, Collin County, Texas",7206,67008,0.375,2309,528,182,2012,0.0732722731057452,0.0788220008661758,Tract
48085030604,"Census Tract 306.04, Collin County, Texas",2961,73975,0.3546,727,40,17,2012,0.0135089496791624,0.0233837689133425,Tract
48085030605,"Census Tract 306.05, Collin County, Texas",5962,65800,0.3507,1873,133,60,2012,0.0223079503522308,0.0320341697810998,Tract
48085030701,"Census Tract 307.01, Collin County, Texas",3478,51071,0.3442,768,1103,289,2012,0.317136285221392,0.376302083333333,Tract
48085030702,"Census Tract 307.02, Collin County, Texas",4460,45118,0.5545,1196,1069,453,2012,0.239686098654709,0.37876254180602,Tract
48085030801,"Census Tract 308.01, Collin County, Texas",3679,41640,0.3521,923,539,224,2012,0.146507203044306,0.242686890574215,Tract
48085030802,"Census Tract 308.02, Collin County, Texas",5944,36164,0.4514,1951,1444,680,2012,0.242934051144011,0.348539210661199,Tract
