GEOID,NAME,type,tot_popE_2012,tot_popE_2013,tot_popE_2014,tot_popE_2015,tot_popE_2016,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2013,med_incE_2014,med_incE_2015,med_incE_2016,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2013,giniE_2014,giniE_2015,giniE_2016,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2013,pop_u18E_2014,pop_u18E_2015,pop_u18E_2016,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2013,pop_bpE_2014,pop_bpE_2015,pop_bpE_2016,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2013,bp_u18E_2014,bp_u18E_2015,bp_u18E_2016,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2013,bp_per_2014,bp_per_2015,bp_per_2016,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2013,cbp_per_2014,cbp_per_2015,cbp_per_2016,cbp_per_2017,cbp_per_2018,cbp_per_2019
48085030100,"Census Tract 301, Collin County, Texas",Tract,6316,6341,6354,6474,6469,6630,6272,6121,56848,52045,59097,59458,61735,63208,71917,68032,0.3735,0.3866,0.3935,0.4255,0.4025,0.4226,0.4239,0.4175,1527,1576,1693,1786,1744,1825,1640,1729,519,528,458,559,527,726,681,764,132,112,92,141,147,241,257,299,0.0821722609246359,0.0832676234032487,0.0720805791627321,0.0863453815261044,0.0814654506106044,0.109502262443439,0.108577806122449,0.124816206502206,0.0864440078585462,0.0710659898477157,0.0543414057885411,0.0789473684210526,0.0842889908256881,0.132054794520548,0.156707317073171,0.172932330827068
48085030201,"Census Tract 302.01, Collin County, Texas",Tract,2308,2358,2669,2881,3171,3281,3285,3360,91750,90266,88125,84688,72147,77847,80779,84455,0.3513,0.3352,0.343,0.3179,0.336,0.3453,0.3624,0.3651,544,531,632,744,918,960,967,968,45,41,52,61,314,253,323,369,0,0,0,0,176,144,168,210,0.0194974003466204,0.0173876166242578,0.0194829524166354,0.0211732037486984,0.0990223904131189,0.0771106370009144,0.0983257229832572,0.109821428571429,0,0,0,0,0.191721132897603,0.15,0.173733195449845,0.216942148760331
48085030202,"Census Tract 302.02, Collin County, Texas",Tract,2108,2103,2065,2077,2291,2293,3157,3476,89202,89643,82917,75833,67734,75506,100368,108523,0.4342,0.4817,0.381,0.4388,0.4904,0.5178,0.4659,0.4859,402,452,416,439,461,448,706,848,150,190,159,241,332,316,240,304,12,14,14,41,81,96,69,112,0.071157495256167,0.0903471231573942,0.076997578692494,0.116032739528166,0.144914884329987,0.137810728303533,0.0760215394361736,0.0874568469505178,0.0298507462686567,0.0309734513274336,0.0336538461538462,0.0933940774487472,0.175704989154013,0.214285714285714,0.0977337110481587,0.132075471698113
48085030203,"Census Tract 302.03, Collin County, Texas",Tract,13828,14273,15155,16697,17677,18923,20607,22332,70058,70880,73419,73863,82536,87360,95922,101194,0.365,0.3612,0.355,0.3628,0.331,0.3441,0.3351,0.3477,4863,4534,4684,5266,5756,6102,6681,7578,1640,1352,1216,1496,1097,873,682,983,963,816,697,860,540,476,381,433,0.11859994214637,0.0947243046311217,0.0802375453645662,0.0895969335808828,0.0620580415228828,0.046134333879406,0.0330955500558063,0.0440175532867634,0.198025909932141,0.179973533303926,0.148804440649018,0.163311811621724,0.093815149409312,0.0780072107505736,0.0570273911091154,0.0571390868302982
48085030301,"Census Tract 303.01, Collin County, Texas",Tract,2583,3066,3799,4967,5667,6687,6852,7349,77212,91750,92902,94375,90368,100444,101318,109671,0.2964,0.2776,0.2851,0.2902,0.3352,0.3369,0.3483,0.3364,685,892,1125,1683,1904,2333,2182,2395,119,77,85,185,276,456,463,482,47,34,25,62,91,157,147,157,0.046070460704607,0.0251141552511416,0.0223743090286918,0.037245822428025,0.0487030174695606,0.0681920143562136,0.0675715119673088,0.0655871547149272,0.0686131386861314,0.0381165919282511,0.0222222222222222,0.0368389780154486,0.0477941176470588,0.0672953279039863,0.0673693858845096,0.065553235908142
48085030302,"Census Tract 303.02, Collin County, Texas",Tract,1967,1972,2366,2604,3037,3446,4178,5048,160035,151667,150208,154205,175481,178942,184485,172833,0.3632,0.3554,0.3815,0.3736,0.3641,0.4015,0.3914,0.4076,643,647,847,924,1077,1228,1520,1688,0,5,145,135,168,155,233,163,0,0,76,72,66,60,59,8,0,0.00253549695740365,0.0612848689771767,0.0518433179723502,0.0553177477774119,0.0449796865931515,0.0557683101962662,0.0322900158478605,0,0,0.089728453364817,0.0779220779220779,0.0612813370473538,0.0488599348534202,0.0388157894736842,0.004739336492891
48085030303,"Census Tract 303.03, Collin County, Texas",Tract,4793,5599,6157,6799,7308,7143,7787,8360,110268,118785,120162,120672,120448,138750,147535,150493,0.4024,0.3966,0.4314,0.4333,0.4244,0.3804,0.3715,0.3656,1815,2129,2328,2459,2566,2493,2692,2796,414,410,463,434,436,79,96,80,58,71,80,46,49,0,0,0,0.0863759649488838,0.0732273620289337,0.075198960532727,0.0638329166053832,0.0596606458675424,0.0110597788044239,0.0123282393733145,0.00956937799043062,0.0319559228650138,0.0333489901362142,0.0343642611683849,0.0187067913786092,0.0190958690568979,0,0,0
48085030304,"Census Tract 303.04, Collin County, Texas",Tract,2722,2791,2872,3212,3733,5123,5563,6046,86087,89517,90741,90816,97344,113750,133494,140295,0.3518,0.3766,0.387,0.3892,0.3905,0.3885,0.3508,0.3342,1084,1088,1104,1218,1379,1871,1979,2181,509,461,566,670,380,411,362,295,224,216,304,350,202,190,171,99,0.186994856722998,0.165173772841276,0.197075208913649,0.208592777085928,0.10179480310742,0.0802264298262737,0.0650728024447241,0.0487925901422428,0.206642066420664,0.198529411764706,0.27536231884058,0.28735632183908,0.1464829586657,0.101549973276323,0.0864072764022233,0.0453920220082531
48085030305,"Census Tract 303.05, Collin County, Texas",Tract,8109,8682,9007,9302,10539,11933,13956,17436,96806,89817,90118,93502,104514,105818,118750,129525,0.4125,0.4181,0.3922,0.3718,0.3903,0.3962,0.4324,0.4064,2397,2498,2436,2661,2804,3349,4332,5663,665,990,1194,1101,835,774,511,209,212,318,442,436,264,222,175,33,0.0820076458256258,0.114029025570145,0.132563561674253,0.118361642657493,0.079229528418256,0.064862146987346,0.0366150759529951,0.0119866941959165,0.0884438881935753,0.127301841473179,0.181444991789819,0.163848177376926,0.094151212553495,0.0662884443117348,0.0403970452446907,0.00582730001765849
48085030403,"Census Tract 304.03, Collin County, Texas",Tract,4959,5036,5603,5979,6053,6025,5813,5890,86181,74875,91581,90898,86761,89879,103833,107540,0.4154,0.4298,0.4056,0.4038,0.4506,0.4567,0.4174,0.4144,1363,1513,1675,1729,1771,1679,1638,1644,277,416,609,484,535,462,216,359,132,180,201,82,96,61,17,214,0.0558580358943335,0.0826052422557585,0.108691772264858,0.0809499916373976,0.0883859243350405,0.0766804979253112,0.0371580939274041,0.0609507640067912,0.0968451944240646,0.118968935888962,0.12,0.0474262579525737,0.0542066629023151,0.0363311494937463,0.0103785103785104,0.130170316301703
