GEOID,NAME,tot_popE,popm_18t24E,popf_18t24E,pop_3t4E,med_incE,giniE,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_bpE,bp_u18E,pop_o25E,pop_u18E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,year,pop_18t24E,wh_per,bl_per,as_per,his_per,emp_r,hs_18t24_per,es_3t4_per,emp_pubtr_per,bp_per,cbp_per,rohh_per,type
48085,"Collin County, Texas",788580,29765,28251,24592,83238,0.4223,27509,63726,225517,116000,496688,65028,89378,86339,283025,10013,7068,2657,400325,4862,59107,20355,506312,223058,81.7,81.2,68.4,31.7,2012,58016,0.629851124806614,0.0824621471505745,0.11334043470542,0.147099850363945,0.6575,0.345180639823497,0.108043266102798,0.0121451320801848,0.0749537142712217,0.0912542926055107,0.305057857079763,County
48113,"Dallas County, Texas",2379214,121456,115863,79165,49159,0.4922,291261,287531,362734,908199,788657,515041,121352,396881,849874,37221,33406,9683,1106207,31323,441845,184657,1486474,649764,76.3,75.6,62,27.9,2012,237319,0.331477958687197,0.216475272926269,0.0510050798288847,0.381722283073318,0.6045,0.313679056459871,0.122314153982189,0.0283156769031474,0.185710490943648,0.28419087545632,0.466988047640003,County
48121,"Denton County, Texas",667934,33691,35640,20923,72939,0.4201,28621,65057,153348,121560,429832,53298,43801,81152,237732,9300,7693,2146,342383,2558,55596,17410,415720,181025,81.4,83.7,68.4,29.8,2012,69331,0.643524659622059,0.0797953091173679,0.0655768384301443,0.181994029350205,0.65825,0.268278259364498,0.102566553553506,0.00747116533239092,0.0832357688035046,0.0961745615246513,0.341359177561287,County
48139,"Ellis County, Texas",149712,6939,6628,4597,62832,0.4021,11335,22678,16887,35244,98029,12959,929,12674,50327,2687,2215,570,69885,349,15914,6661,93135,42364,79.2,80.2,64.8,27,2012,13567,0.654783851661858,0.086559527626376,0.00620524740835738,0.235411991022764,0.628,0.396108203729638,0.123993909071133,0.00499391858052515,0.106297424388159,0.157232555943726,0.25183301210086,County
48251,"Johnson County, Texas",151174,6926,6163,5300,57016,0.401,12721,26336,12910,27366,115663,3867,1057,12959,51776,3223,2420,560,66864,245,16328,6397,97099,40194,73.1,75,62.9,23.9,2012,13089,0.765098495773083,0.0255797954674746,0.00699194305899163,0.181023191818699,0.58725,0.492474596989839,0.105660377358491,0.0036641541038526,0.108007990792067,0.159153107428969,0.250289709517923,County
48257,"Kaufman County, Texas",103385,4133,4132,3596,61564,0.4013,8566,16663,10021,17768,72220,9727,680,7531,34597,1910,1437,248,46083,64,12980,5081,65488,29054,78.4,77.6,59.9,21.9,2012,8265,0.698553948832036,0.0940852154567877,0.0065773564830488,0.17186245586884,0.5945,0.462189957652753,0.0689655172413793,0.00138879847232168,0.125550128161726,0.174881255593034,0.217677833338151,County
48397,"Rockwall County, Texas",78749,2696,2473,2310,82725,0.3952,3401,9064,15898,12582,58336,3945,1753,4503,26141,935,652,245,37262,104,4876,1527,50331,22966,79.5,81.4,61.1,26.2,2012,5169,0.740784009955682,0.0500958742333236,0.0222606001346049,0.159773457440729,0.6205,0.361772102921261,0.106060606060606,0.00279104717943213,0.061918246580909,0.0664895933118523,0.172258138556291,County
48439,"Tarrant County, Texas",1814667,86736,86588,58954,56859,0.4553,149367,222171,291178,484241,939447,265263,83839,245706,651877,29219,25913,6826,859034,5773,263212,107337,1135356,501242,77.3,77.7,64.2,27.2,2012,173324,0.517696635250434,0.14617723251704,0.0462007630050031,0.266848407999925,0.616,0.337160462486442,0.115785188452013,0.00672033935792995,0.145046997603417,0.214142071095399,0.376920799475975,County
48085,"Collin County, Texas",811308,31416,29637,23768,82762,0.4274,26789,65700,232047,120223,505292,69004,93943,92193,289752,10558,7467,2624,410021,4447,62986,21216,521349,227601,81.4,81.4,68.2,31.5,2013,61053,0.622811558618922,0.0850527789692694,0.115792029660745,0.14818416680225,0.65625,0.345863430134473,0.110400538539212,0.010845785947549,0.0776351274731668,0.0932157591574729,0.318178994450427,County
48113,"Dallas County, Texas",2412481,122151,117048,80606,49481,0.4947,291846,292637,373023,928418,785993,524707,125880,407285,858332,37415,32936,10466,1117635,30339,454926,189500,1512949,654656,76.4,75.2,62.1,28.5,2013,239199,0.325802773161737,0.217496842462179,0.0521786492826265,0.384839507544308,0.6055,0.312835756002324,0.12984145100861,0.0271457139405978,0.188571847819734,0.289465001466419,0.474507533215586,County
48121,"Denton County, Texas",687857,34178,36013,21064,74155,0.4203,28675,67831,158801,126857,437438,56214,46775,83961,243394,8899,7323,2239,351572,2994,59068,18719,431262,184157,81.2,83.6,69.1,28.7,2013,70191,0.635943226571802,0.0817233814586462,0.0680010525443515,0.184423506630012,0.6565,0.253565271900956,0.106295100645651,0.00851603654443471,0.0858724996619937,0.101646964275048,0.34495920195239,County
48139,"Ellis County, Texas",152020,7097,6754,4604,61952,0.4054,11962,23050,17029,36361,98832,13173,1020,12952,51016,2679,2198,661,70207,312,17768,7196,95060,42490,78.2,79.2,65.5,27.4,2013,13851,0.650124983554795,0.0866530719642152,0.00670964346796474,0.23918563346928,0.62575,0.386831275720165,0.14357080799305,0.00444400131041064,0.116879357979213,0.169357495881384,0.253881135330093,County
48251,"Johnson County, Texas",152384,7064,6152,4976,57535,0.4045,12279,26025,13733,28288,115732,3876,1026,12824,52044,3063,2199,556,66546,192,17844,6743,98210,40280,71.8,74.9,62.8,22.3,2013,13216,0.75947606047879,0.0254357412851743,0.0067329903401932,0.185636287274255,0.5795,0.463529055690073,0.111736334405145,0.00288522225227662,0.11709890802184,0.16740317775571,0.24640688648067,County
48257,"Kaufman County, Texas",105220,4218,4203,3608,61194,0.4036,8967,16674,10241,18615,72919,9788,670,7761,34922,1823,1379,336,46945,38,13757,5392,66910,29348,77.4,75.3,60.9,22.8,2013,8421,0.69301463600076,0.0930241398973579,0.00636761072039536,0.176915035164417,0.591,0.432965206032538,0.0931263858093126,0.000809457876238151,0.130745105493252,0.183726318658852,0.222238130691255,County
48397,"Rockwall County, Texas",81020,2823,2649,2303,86119,0.3896,3534,9033,16607,13158,59664,4331,1857,4408,26820,980,768,293,37583,132,4700,1606,51866,23453,79.6,80.7,59.5,25.5,2013,5472,0.736410762774624,0.053455936805727,0.0229202666008393,0.16240434460627,0.61325,0.358187134502924,0.127225358228398,0.00351222627251683,0.0580103678104172,0.0684773802924999,0.164354958985831,County
