GEOID,NAME,popm_18t24E,popf_18t24E,pop_3t4E,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_o25E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,type,tot_popE_2012,tot_popE_2013,tot_popE_2014,tot_popE_2015,tot_popE_2016,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2013,med_incE_2014,med_incE_2015,med_incE_2016,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2013,giniE_2014,giniE_2015,giniE_2016,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2013,pop_u18E_2014,pop_u18E_2015,pop_u18E_2016,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2013,pop_bpE_2014,pop_bpE_2015,pop_bpE_2016,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2013,bp_u18E_2014,bp_u18E_2015,bp_u18E_2016,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2013,bp_per_2014,bp_per_2015,bp_per_2016,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2013,cbp_per_2014,cbp_per_2015,cbp_per_2016,cbp_per_2017,cbp_per_2018,cbp_per_2019,rohh_per_2012,rohh_per_2013,rohh_per_2014,rohh_per_2015,rohh_per_2016,rohh_per_2017,rohh_per_2018,rohh_per_2019,emp_pubtr_per_2012,emp_pubtr_per_2013,emp_pubtr_per_2014,emp_pubtr_per_2015,emp_pubtr_per_2016,emp_pubtr_per_2017,emp_pubtr_per_2018,emp_pubtr_per_2019,es_3t4_per_2012,es_3t4_per_2013,es_3t4_per_2014,es_3t4_per_2015,es_3t4_per_2016,es_3t4_per_2017,es_3t4_per_2018,es_3t4_per_2019,hs_18t24_per_2012,hs_18t24_per_2013,hs_18t24_per_2014,hs_18t24_per_2015,hs_18t24_per_2016,hs_18t24_per_2017,hs_18t24_per_2018,hs_18t24_per_2019,emp_r_2012,emp_r_2013,emp_r_2014,emp_r_2015,emp_r_2016,emp_r_2017,emp_r_2018,emp_r_2019,his_per_2012,his_per_2013,his_per_2014,his_per_2015,his_per_2016,his_per_2017,his_per_2018,his_per_2019,as_per_2012,as_per_2013,as_per_2014,as_per_2015,as_per_2016,as_per_2017,as_per_2018,as_per_2019,bl_per_2012,bl_per_2013,bl_per_2014,bl_per_2015,bl_per_2016,bl_per_2017,bl_per_2018,bl_per_2019,wh_per_2012,wh_per_2013,wh_per_2014,wh_per_2015,wh_per_2016,wh_per_2017,wh_per_2018,wh_per_2019,pop_18t24E_2012,pop_18t24E_2013,pop_18t24E_2014,pop_18t24E_2015,pop_18t24E_2016,pop_18t24E_2017,pop_18t24E_2018,pop_18t24E_2019
48085,"Collin County, Texas",29765,28251,24592,27509,63726,225517,116000,496688,65028,89378,86339,283025,10013,7068,2657,400325,4862,506312,81.7,81.2,68.4,31.7,County,788580,,,,,,,,83238,,,,,,,,0.4223,,,,,,,,223058,,,,,,,,59107,,,,,,,,20355,,,,,,,,0.0749537142712217,,,,,,,,0.0912542926055107,,,,,,,,0.305057857079763,,,,,,,,0.0121451320801848,,,,,,,,0.108043266102798,,,,,,,,0.345180639823497,,,,,,,,0.6575,,,,,,,,0.147099850363945,,,,,,,,0.11334043470542,,,,,,,,0.0824621471505745,,,,,,,,0.629851124806614,,,,,,,,58016,,,,,,,
48113,"Dallas County, Texas",121456,115863,79165,291261,287531,362734,908199,788657,515041,121352,396881,849874,37221,33406,9683,1106207,31323,1486474,76.3,75.6,62,27.9,County,2379214,,,,,,,,49159,,,,,,,,0.4922,,,,,,,,649764,,,,,,,,441845,,,,,,,,184657,,,,,,,,0.185710490943648,,,,,,,,0.28419087545632,,,,,,,,0.466988047640003,,,,,,,,0.0283156769031474,,,,,,,,0.122314153982189,,,,,,,,0.313679056459871,,,,,,,,0.6045,,,,,,,,0.381722283073318,,,,,,,,0.0510050798288847,,,,,,,,0.216475272926269,,,,,,,,0.331477958687197,,,,,,,,237319,,,,,,,
48121,"Denton County, Texas",33691,35640,20923,28621,65057,153348,121560,429832,53298,43801,81152,237732,9300,7693,2146,342383,2558,415720,81.4,83.7,68.4,29.8,County,667934,,,,,,,,72939,,,,,,,,0.4201,,,,,,,,181025,,,,,,,,55596,,,,,,,,17410,,,,,,,,0.0832357688035046,,,,,,,,0.0961745615246513,,,,,,,,0.341359177561287,,,,,,,,0.00747116533239092,,,,,,,,0.102566553553506,,,,,,,,0.268278259364498,,,,,,,,0.65825,,,,,,,,0.181994029350205,,,,,,,,0.0655768384301443,,,,,,,,0.0797953091173679,,,,,,,,0.643524659622059,,,,,,,,69331,,,,,,,
48139,"Ellis County, Texas",6939,6628,4597,11335,22678,16887,35244,98029,12959,929,12674,50327,2687,2215,570,69885,349,93135,79.2,80.2,64.8,27,County,149712,,,,,,,,62832,,,,,,,,0.4021,,,,,,,,42364,,,,,,,,15914,,,,,,,,6661,,,,,,,,0.106297424388159,,,,,,,,0.157232555943726,,,,,,,,0.25183301210086,,,,,,,,0.00499391858052515,,,,,,,,0.123993909071133,,,,,,,,0.396108203729638,,,,,,,,0.628,,,,,,,,0.235411991022764,,,,,,,,0.00620524740835738,,,,,,,,0.086559527626376,,,,,,,,0.654783851661858,,,,,,,,13567,,,,,,,
48251,"Johnson County, Texas",6926,6163,5300,12721,26336,12910,27366,115663,3867,1057,12959,51776,3223,2420,560,66864,245,97099,73.1,75,62.9,23.9,County,151174,,,,,,,,57016,,,,,,,,0.401,,,,,,,,40194,,,,,,,,16328,,,,,,,,6397,,,,,,,,0.108007990792067,,,,,,,,0.159153107428969,,,,,,,,0.250289709517923,,,,,,,,0.0036641541038526,,,,,,,,0.105660377358491,,,,,,,,0.492474596989839,,,,,,,,0.58725,,,,,,,,0.181023191818699,,,,,,,,0.00699194305899163,,,,,,,,0.0255797954674746,,,,,,,,0.765098495773083,,,,,,,,13089,,,,,,,
48257,"Kaufman County, Texas",4133,4132,3596,8566,16663,10021,17768,72220,9727,680,7531,34597,1910,1437,248,46083,64,65488,78.4,77.6,59.9,21.9,County,103385,,,,,,,,61564,,,,,,,,0.4013,,,,,,,,29054,,,,,,,,12980,,,,,,,,5081,,,,,,,,0.125550128161726,,,,,,,,0.174881255593034,,,,,,,,0.217677833338151,,,,,,,,0.00138879847232168,,,,,,,,0.0689655172413793,,,,,,,,0.462189957652753,,,,,,,,0.5945,,,,,,,,0.17186245586884,,,,,,,,0.0065773564830488,,,,,,,,0.0940852154567877,,,,,,,,0.698553948832036,,,,,,,,8265,,,,,,,
48397,"Rockwall County, Texas",2696,2473,2310,3401,9064,15898,12582,58336,3945,1753,4503,26141,935,652,245,37262,104,50331,79.5,81.4,61.1,26.2,County,78749,,,,,,,,82725,,,,,,,,0.3952,,,,,,,,22966,,,,,,,,4876,,,,,,,,1527,,,,,,,,0.061918246580909,,,,,,,,0.0664895933118523,,,,,,,,0.172258138556291,,,,,,,,0.00279104717943213,,,,,,,,0.106060606060606,,,,,,,,0.361772102921261,,,,,,,,0.6205,,,,,,,,0.159773457440729,,,,,,,,0.0222606001346049,,,,,,,,0.0500958742333236,,,,,,,,0.740784009955682,,,,,,,,5169,,,,,,,
48439,"Tarrant County, Texas",86736,86588,58954,149367,222171,291178,484241,939447,265263,83839,245706,651877,29219,25913,6826,859034,5773,1135356,77.3,77.7,64.2,27.2,County,1814667,,,,,,,,56859,,,,,,,,0.4553,,,,,,,,501242,,,,,,,,263212,,,,,,,,107337,,,,,,,,0.145046997603417,,,,,,,,0.214142071095399,,,,,,,,0.376920799475975,,,,,,,,0.00672033935792995,,,,,,,,0.115785188452013,,,,,,,,0.337160462486442,,,,,,,,0.616,,,,,,,,0.266848407999925,,,,,,,,0.0462007630050031,,,,,,,,0.14617723251704,,,,,,,,0.517696635250434,,,,,,,,173324,,,,,,,
48085,"Collin County, Texas",31416,29637,23768,26789,65700,232047,120223,505292,69004,93943,92193,289752,10558,7467,2624,410021,4447,521349,81.4,81.4,68.2,31.5,County,,811308,,,,,,,,82762,,,,,,,,0.4274,,,,,,,,227601,,,,,,,,62986,,,,,,,,21216,,,,,,,,0.0776351274731668,,,,,,,,0.0932157591574729,,,,,,,,0.318178994450427,,,,,,,,0.010845785947549,,,,,,,,0.110400538539212,,,,,,,,0.345863430134473,,,,,,,,0.65625,,,,,,,,0.14818416680225,,,,,,,,0.115792029660745,,,,,,,,0.0850527789692694,,,,,,,,0.622811558618922,,,,,,,,61053,,,,,,
48113,"Dallas County, Texas",122151,117048,80606,291846,292637,373023,928418,785993,524707,125880,407285,858332,37415,32936,10466,1117635,30339,1512949,76.4,75.2,62.1,28.5,County,,2412481,,,,,,,,49481,,,,,,,,0.4947,,,,,,,,654656,,,,,,,,454926,,,,,,,,189500,,,,,,,,0.188571847819734,,,,,,,,0.289465001466419,,,,,,,,0.474507533215586,,,,,,,,0.0271457139405978,,,,,,,,0.12984145100861,,,,,,,,0.312835756002324,,,,,,,,0.6055,,,,,,,,0.384839507544308,,,,,,,,0.0521786492826265,,,,,,,,0.217496842462179,,,,,,,,0.325802773161737,,,,,,,,239199,,,,,,
