GEOID,NAME,tot_popE,popm_18t24E,popf_18t24E,pop_3t4E,med_incE,giniE,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_bpE,bp_u18E,pop_o25E,pop_u18E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,year,pop_18t24E,wh_per,bl_per,as_per,his_per,emp_r,hs_18t24_per,es_3t4_per,emp_pubtr_per,bp_per,cbp_per,rohh_per,type
4850920,"New Fairview city, Texas",1012,45,34,49,53688,0.2961,91,306,27,202,682,23,0,61,313,37,30,13,437,0,71,34,653,280,72.7,73.8,64.4,11.7,2012,79,0.673913043478261,0.0227272727272727,0,0.199604743083004,0.5565,0.936708860759494,0.26530612244898,0,0.0701581027667984,0.121428571428571,0.194888178913738,Place
4850920,"New Fairview city, Texas",1102,50,37,43,54135,0.2856,97,332,24,240,737,16,0,70,350,40,30,11,483,0,72,29,708,299,72.9,79.8,58.9,8.6,2013,87,0.668784029038113,0.014519056261343,0,0.217785843920145,0.5505,0.919540229885057,0.255813953488372,0,0.0653357531760436,0.0969899665551839,0.2,Place
4850920,"New Fairview city, Texas",1090,62,39,63,54536,0.3187,117,253,26,257,690,16,10,72,367,42,21,21,482,0,70,24,693,285,74.1,81.5,48.9,11.8,2014,101,0.63302752293578,0.0146788990825688,0.0091743119266055,0.235779816513762,0.54075,0.831683168316832,0.333333333333333,0,0.0642201834862385,0.0842105263157895,0.196185286103542,Place
4850920,"New Fairview city, Texas",1010,44,29,61,53229,0.3559,122,224,48,215,722,0,5,50,365,18,16,15,462,0,88,33,680,248,42.2,87.5,72.2,76.6,2015,73,0.714851485148515,0,0.00495049504950495,0.212871287128713,0.69625,0.493150684931507,0.245901639344262,0,0.0871287128712871,0.133064516129032,0.136986301369863,Place
4850920,"New Fairview city, Texas",1216,83,42,64,55455,0.3504,113,297,60,288,826,0,4,44,390,48,24,8,591,0,93,31,771,310,46.7,89.7,69.9,79.3,2016,125,0.679276315789474,0,0.00328947368421053,0.236842105263158,0.714,0.768,0.125,0,0.0764802631578947,0.1,0.112820512820513,Place
4850920,"New Fairview city, Texas",1219,88,36,51,62031,0.3613,100,296,48,306,803,0,8,51,387,55,13,0,573,0,89,26,762,333,73.1,78.2,72.9,76,2017,124,0.658736669401149,0,0.00656275635767022,0.251025430680886,0.7505,0.887096774193548,0,0,0.0730106644790812,0.0780780780780781,0.131782945736434,Place
4850920,"New Fairview city, Texas",1273,84,39,50,67500,0.3756,82,329,63,267,891,0,13,44,408,55,21,3,627,0,109,30,845,305,69.6,74.7,68.7,85,2018,123,0.699921445404556,0,0.0102120974076984,0.209740769835035,0.745,0.894308943089431,0.06,0,0.0856245090337785,0.0983606557377049,0.107843137254902,Place
4850920,"New Fairview city, Texas",1347,57,27,50,72500,0.339,49,379,80,212,977,6,0,42,400,42,15,3,614,0,55,14,848,415,83.5,47.5,75.1,88.8,2019,84,0.725315515961396,0.0044543429844098,0,0.157386785449146,0.73725,1,0.06,0,0.0408314773570898,0.0337349397590361,0.105,Place
4811428,"Burleson city, Texas",36879,1234,1358,1510,68528,0.357,1037,5500,4723,4284,30769,1162,230,3284,13177,700,535,134,18108,97,2472,1006,23206,10858,83.4,85.7,67.6,24.1,2012,2592,0.834323056482009,0.0315084465413921,0.00623661162179018,0.116163670381518,0.652,0.540123456790123,0.0887417218543046,0.0053567483984979,0.0670300170828927,0.0926505802173513,0.249222129468012,Place
4811428,"Burleson city, Texas",38165,1195,1456,1333,67701,0.3647,1132,5817,5012,4446,31769,1337,176,3579,13545,534,529,138,18468,125,2708,1040,23906,11452,80.2,84.1,70.4,25.3,2013,2651,0.83241189571597,0.0350320974715053,0.00461155508974191,0.116494170051094,0.65,0.402866842700868,0.103525881470368,0.00676846437080355,0.0709550635398926,0.0908138316451275,0.264230343300111,Place
4811428,"Burleson city, Texas",39335,1346,1743,1316,69088,0.3639,1386,5780,5240,4874,32356,1315,246,3916,14018,464,622,159,19574,198,3314,1330,24693,11450,82.2,83.7,68.6,24.4,2014,3089,0.822575314605313,0.0334307868310665,0.00625397228930978,0.123910003813398,0.64725,0.300420848170929,0.120820668693009,0.010115459282722,0.0842506673446041,0.116157205240175,0.279355114852333,Place
4811428,"Burleson city, Texas",40652,1400,1828,1201,69686,0.3815,1346,5713,5219,5202,32536,1660,393,4296,14270,513,548,202,19632,101,3299,1489,25118,12172,81.5,76.9,82.2,81.8,2015,3228,0.800354226114336,0.0408343992915478,0.00966742103709535,0.127964183803995,0.806,0.317843866171004,0.16819317235637,0.00514466177669112,0.0811522188330218,0.122329937561617,0.301051156271899,Place
4811428,"Burleson city, Texas",41962,1347,1780,1241,72670,0.3803,1346,6118,5676,5201,33981,1214,400,4003,14271,476,700,213,19992,92,2955,1259,26198,12594,80.9,74.8,84.1,81.4,2016,3127,0.8098041084791,0.0289309375148944,0.00953243410704924,0.123945474476908,0.803,0.304445155100736,0.171635777598711,0.00460184073629452,0.0704208569658262,0.0999682388438939,0.280498913881298,Place
4811428,"Burleson city, Texas",43296,1505,1976,1160,74341,0.3726,1436,6418,5898,5206,34920,1577,418,4092,14964,666,708,196,20996,82,2736,1102,27341,12474,80.4,76.3,82.4,81.4,2017,3481,0.806541019955654,0.0364236881005174,0.00965447154471545,0.120242054693274,0.80125,0.382648664176961,0.168965517241379,0.0039055058106306,0.0631929046563193,0.0883437550104217,0.27345629510826,Place
4811428,"Burleson city, Texas",44629,1547,1915,1276,77342,0.3695,1272,6556,6182,5203,35513,1829,624,4167,15349,606,637,134,21793,58,2215,775,28602,12565,78,75.9,82.9,82.4,2018,3462,0.795738197136391,0.0409823209124112,0.0139819399941742,0.116583387483475,0.798,0.350086655112652,0.105015673981191,0.00266140503831506,0.0496314055882946,0.0616792678074015,0.271483484266076,Place
4811428,"Burleson city, Texas",45862,1624,1863,1278,79784,0.3689,1082,7241,6575,5318,36358,2094,633,4620,15708,665,663,146,23186,59,2616,894,29555,12820,78,78.7,83.9,82.9,2019,3487,0.792769613187388,0.0456587152762636,0.0138022763944006,0.115956565348219,0.80875,0.381416690564956,0.114241001564945,0.0025446390062969,0.057040687279229,0.0697347893915757,0.294117647058824,Place
4815364,"Cleburne city, Texas",29318,1672,1655,1214,46057,0.4033,3176,4778,1934,6766,20457,1033,162,4236,10275,803,767,124,12121,82,4248,1654,17919,7862,71.4,72.9,60.5,26.6,2012,3327,0.69776246674398,0.0352343270345863,0.00552561566273279,0.230779725765741,0.5785,0.482717162608957,0.102141680395387,0.00676511838957182,0.144893921822771,0.210379038412618,0.412262773722628,Place
4815364,"Cleburne city, Texas",29677,1838,1502,1094,47278,0.3932,3135,4390,2082,7115,20199,1037,193,4047,10088,723,670,107,11958,36,5062,2051,17965,8261,70,69.7,59.3,28,2013,3340,0.680628095831789,0.0349428850625063,0.00650335276476733,0.239747952960205,0.5675,0.432934131736527,0.0978062157221207,0.00301053687907677,0.170569801529804,0.248275027236412,0.401169706582078,Place
4815364,"Cleburne city, Texas",29765,1743,1526,970,48260,0.4071,3156,4291,2192,7570,19736,981,187,4209,10495,816,754,92,12380,24,5087,2169,18312,8087,71.5,69.2,59.6,24.7,2014,3269,0.663060641693264,0.0329581723500756,0.00628254661515202,0.254325550142785,0.5625,0.499235240134598,0.0948453608247423,0.00193861066235864,0.170905425835713,0.268208235439594,0.401048118151501,Place
4815364,"Cleburne city, Texas",29780,1691,1470,930,48059,0.4292,3309,4072,2372,8808,19296,916,208,4347,10431,711,625,64,12006,51,5357,2296,18380,8137,64.3,71.3,74.7,66.6,2015,3161,0.647951645399597,0.0307588985896575,0.00698455339153794,0.295768972464741,0.69225,0.449857639987346,0.0688172043010753,0.00424787606196902,0.179885829415715,0.282167875138257,0.416738567730802,Place
4815364,"Cleburne city, Texas",29759,1902,1437,892,49573,0.4439,3026,4217,2397,8400,19631,976,125,4386,10544,854,568,46,11996,55,5387,2148,18501,7882,59.5,72.2,77.6,68.2,2016,3339,0.65966598339998,0.0327968009677745,0.0042004099600121,0.282267549312813,0.69375,0.511530398322851,0.0515695067264574,0.00458486162054018,0.181020867636681,0.27251966505963,0.415971168437026,Place
4815364,"Cleburne city, Texas",29595,1713,1326,834,49046,0.4378,3085,4633,2383,8673,19123,1129,203,4342,10571,772,634,4,12356,28,4640,1739,18799,7757,64.1,77.5,77.5,67.4,2017,3039,0.646156445345498,0.0381483358675452,0.00685926676803514,0.293056259503295,0.71625,0.508061862454755,0.00479616306954436,0.00226610553577209,0.156783240412232,0.224184607451334,0.410746381610065,Place
4815364,"Cleburne city, Texas",29878,1907,1180,799,50253,0.431,2975,5250,2241,8615,19397,1101,234,4220,10915,984,596,4,12895,52,4385,1855,19163,7628,71.8,81.5,74.7,68,2018,3087,0.649206774215142,0.0368498560813977,0.00783184952138697,0.288339246268157,0.74,0.637512147716229,0.00500625782227785,0.00403257076386196,0.146763504920008,0.243183009963293,0.386623912047641,Place
4815364,"Cleburne city, Texas",30289,1914,1255,852,50848,0.4318,2815,5523,2341,9281,19018,1274,281,4237,11121,989,583,4,13271,49,3953,1736,19495,7625,74.2,81.9,76.9,68.8,2019,3169,0.627884710621018,0.0420614744626762,0.00927729538776454,0.306414870084849,0.7545,0.624171662985169,0.00469483568075117,0.00369226132167885,0.130509425864175,0.227672131147541,0.380990918082906,Place
4838548,"Keene city, Texas",6110,331,359,296,30893,0.4729,529,688,541,2532,2920,339,165,809,1848,136,126,0,2309,14,1890,807,3627,1766,60.9,74.7,77.5,37.2,2012,690,0.477905073649755,0.0554828150572831,0.0270049099836334,0.414402618657938,0.62575,0.394202898550725,0,0.00606323083585968,0.309328968903437,0.456964892412231,0.437770562770563,Place
4838548,"Keene city, Texas",6085,407,378,241,37257,0.4621,394,764,487,2432,2677,631,29,812,1793,114,115,0,2193,18,1830,792,3542,1738,57.2,83.1,75.4,29.9,2013,785,0.439934264585045,0.103697617091208,0.0047658175842235,0.399671322925226,0.614,0.290445859872611,0,0.00820793433652531,0.300739523418242,0.455696202531646,0.45287228109314,Place
4838548,"Keene city, Texas",6089,446,355,244,32314,0.4682,493,740,428,2809,2378,462,56,922,1828,76,114,0,2332,14,1973,885,3350,1916,65.3,76.8,70.3,30.7,2014,801,0.390540318607325,0.0758745278370833,0.009196912465101,0.461323698472656,0.60775,0.18976279650437,0,0.00600343053173242,0.324026933815076,0.461899791231733,0.50437636761488,Place
4838548,"Keene city, Texas",6091,503,364,178,39113,0.4531,462,804,461,2241,2230,586,71,1002,1852,90,89,0,2368,0,1432,622,3449,1753,84,71.3,65.1,71.2,2015,867,0.366113938597931,0.0962075192907569,0.0116565424396651,0.367919881792809,0.729,0.207612456747405,0,0,0.235100968642259,0.354820308043354,0.541036717062635,Place
4838548,"Keene city, Texas",6147,546,417,155,41058,0.4411,416,863,542,2069,2279,656,223,992,1812,126,75,13,2468,0,1236,479,3472,1693,83.8,64.3,75.8,70.8,2016,963,0.370749959329754,0.106718724581096,0.0362778591182691,0.336586952985196,0.73675,0.261682242990654,0.0838709677419355,0,0.201073694485115,0.282929710572947,0.547461368653422,Place
4838548,"Keene city, Texas",6266,648,457,140,41869,0.4344,418,813,598,2008,2524,510,274,1016,1892,141,113,18,2487,0,978,346,3474,1687,84,64,77.5,64.2,2017,1105,0.402808809447814,0.0813916374082349,0.043728056176189,0.320459623364188,0.72425,0.255203619909502,0.128571428571429,0,0.156080434088733,0.205097806757558,0.536997885835095,Place
4838548,"Keene city, Texas",6339,494,637,232,47993,0.4177,471,757,726,2207,2962,324,196,1008,1879,113,202,13,2585,0,766,229,3471,1737,86.4,73.5,78.8,60.7,2018,1131,0.467266130304464,0.0511121628017037,0.0309197034232529,0.348162170689383,0.7485,0.199823165340407,0.0560344827586207,0,0.120839249092917,0.131836499712147,0.536455561468866,Place
4838548,"Keene city, Texas",6396,525,742,178,47813,0.4162,305,827,785,1903,3275,366,191,1091,2009,130,228,22,2858,0,547,86,3714,1415,87,73.1,78.7,67.3,2019,1267,0.512038774233896,0.0572232645403377,0.0298624140087555,0.297529706066291,0.76525,0.205209155485399,0.123595505617978,0,0.0855222013758599,0.0607773851590106,0.543056246888999,Place
4846452,"Mansfield city, Texas",55818,2284,2260,1726,92208,0.3983,1893,5478,12049,8078,36021,7803,2328,3600,18082,839,593,121,27083,21,4034,1672,33467,17711,82.6,81.9,64.8,28.2,2012,4544,0.645329463613888,0.139793614962915,0.0417069762442223,0.144720341108603,0.64375,0.369278169014085,0.0701042873696408,0.000775394158697338,0.072270593715289,0.0944046073061939,0.199093020683553,Place
4846452,"Mansfield city, Texas",57529,2331,2045,1706,94112,0.4033,1738,5463,13334,7996,37549,8022,2291,3733,18862,773,557,121,28376,44,3676,1304,35369,17658,81.2,83.4,65.9,29.1,2013,4376,0.652696900693563,0.139442715847659,0.0398233934189713,0.138990769872586,0.649,0.353290676416819,0.070926143024619,0.00155060614603891,0.0638982078603835,0.0738475478536641,0.197911144099247,Place
4846452,"Mansfield city, Texas",59757,2335,2074,1800,89774,0.4093,1703,6073,13704,8008,38531,9133,2564,4140,19744,825,548,136,29640,49,3904,1462,37154,18116,81.9,84.2,67.5,30.9,2014,4409,0.644794752079254,0.152835651053433,0.0429071071171578,0.134009404755928,0.66125,0.374234520299388,0.0755555555555556,0.0016531713900135,0.0653312582626303,0.0807021417531464,0.209683954619125,Place
4846452,"Mansfield city, Texas",61559,2460,2026,2015,90089,0.4077,1498,6043,14237,8730,38664,9261,3014,4322,20336,790,577,223,30562,80,3774,1238,38866,18102,79,80.3,83.3,84.7,2015,4486,0.628080378173785,0.150441040302799,0.0489611592131126,0.141815169187284,0.81825,0.352206865804726,0.110669975186104,0.0026176297362738,0.0613070387758086,0.0683902331234118,0.212529504327301,Place
4846452,"Mansfield city, Texas",63141,2367,2176,2056,90216,0.3924,1501,5994,15038,9541,38584,9899,3178,5081,21069,897,572,170,31488,90,3576,1090,39948,18525,80.5,78.9,84.5,85,2016,4543,0.611076796376364,0.15677610427456,0.0503317970890547,0.151106254256347,0.82225,0.39489324235087,0.0826848249027237,0.00285823170731707,0.056635149902599,0.0588394062078273,0.241159998101476,Place
4846452,"Mansfield city, Texas",65033,2769,2294,2046,94035,0.3905,1588,5937,15221,10668,38868,10715,2845,5144,21467,1028,594,207,32578,61,3219,1012,40812,19158,80.3,80.2,84.3,85.1,2017,5063,0.597665800439777,0.164762505189673,0.0437470207433149,0.164039795180908,0.82475,0.406083349792613,0.101173020527859,0.00187242924673092,0.0494979471960389,0.0528238855830463,0.239623608329063,Place
4846452,"Mansfield city, Texas",67492,3043,2422,2048,96253,0.3796,1877,5927,15326,12002,38495,11873,2920,5256,21856,1225,733,189,34211,39,2774,866,42341,19686,80.9,82.5,87.3,83.6,2018,5465,0.570363894980146,0.175917145735791,0.0432643868902981,0.177828483375808,0.83575,0.448307410795974,0.09228515625,0.00113998421560317,0.0411011675457832,0.0439906532561211,0.240483162518302,Place
4846452,"Mansfield city, Texas",69557,3217,2426,2115,99510,0.3751,1933,5673,16171,12678,38387,12847,3142,5493,22527,1345,766,183,34995,37,2650,832,43577,20337,78.7,83,88.2,84.4,2019,5643,0.551878315626033,0.184697442385382,0.0451715858935837,0.182267780381558,0.83575,0.476696792486266,0.0865248226950355,0.00105729389912845,0.0380982503558233,0.0409106554555736,0.243840724463977,Place
4875236,"Venus town, Texas",2960,175,54,88,66667,0.3009,510,690,224,566,1791,499,81,138,666,64,4,19,895,0,177,67,2104,627,45.7,40.4,32.6,34.7,2012,229,0.605067567567568,0.168581081081081,0.0273648648648649,0.191216216216216,0.3835,0.558951965065502,0.215909090909091,0,0.0597972972972973,0.106858054226475,0.207207207207207,Place
4875236,"Venus town, Texas",3047,173,86,62,56625,0.3685,469,672,258,608,1784,534,81,151,753,63,9,22,924,0,198,74,2228,560,40.8,47.6,42.4,26.2,2013,259,0.585493928454217,0.175254348539547,0.0265835247784706,0.199540531670496,0.3925,0.486486486486487,0.354838709677419,0,0.0649819494584838,0.132142857142857,0.200531208499336,Place
4875236,"Venus town, Texas",3110,171,86,55,49474,0.3836,477,640,213,579,1863,467,102,160,796,50,8,10,960,0,226,80,2271,582,39.9,53,44.6,20.5,2014,257,0.59903536977492,0.15016077170418,0.0327974276527331,0.186173633440514,0.395,0.389105058365759,0.181818181818182,0,0.0726688102893891,0.13745704467354,0.201005025125628,Place
4875236,"Venus town, Texas",3126,171,94,88,46886,0.3964,440,665,231,604,1819,525,122,166,810,64,15,7,971,0,212,66,2251,610,53.8,41.8,31.9,43.9,2015,265,0.581893793985925,0.167946257197697,0.0390275111964171,0.193218170185541,0.4285,0.483018867924528,0.0795454545454545,0,0.0678182981445937,0.108196721311475,0.204938271604938,Place
4875236,"Venus town, Texas",3211,180,83,95,47561,0.3804,405,768,253,597,1906,547,98,144,792,69,17,14,982,0,245,73,2307,641,45.6,39.3,35.4,47.1,2016,263,0.593584553098723,0.170351915291187,0.0305200872002491,0.185923388352538,0.4185,0.524714828897339,0.147368421052632,0,0.0763002180006229,0.113884555382215,0.181818181818182,Place
