GEOID,NAME,popm_18t24E,popf_18t24E,pop_3t4E,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_o25E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,type,tot_popE_2012,tot_popE_2013,tot_popE_2014,tot_popE_2015,tot_popE_2016,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2013,med_incE_2014,med_incE_2015,med_incE_2016,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2013,giniE_2014,giniE_2015,giniE_2016,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2013,pop_u18E_2014,pop_u18E_2015,pop_u18E_2016,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2013,pop_bpE_2014,pop_bpE_2015,pop_bpE_2016,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2013,bp_u18E_2014,bp_u18E_2015,bp_u18E_2016,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2013,bp_per_2014,bp_per_2015,bp_per_2016,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2013,cbp_per_2014,cbp_per_2015,cbp_per_2016,cbp_per_2017,cbp_per_2018,cbp_per_2019,rohh_per_2012,rohh_per_2013,rohh_per_2014,rohh_per_2015,rohh_per_2016,rohh_per_2017,rohh_per_2018,rohh_per_2019,emp_pubtr_per_2012,emp_pubtr_per_2013,emp_pubtr_per_2014,emp_pubtr_per_2015,emp_pubtr_per_2016,emp_pubtr_per_2017,emp_pubtr_per_2018,emp_pubtr_per_2019,es_3t4_per_2012,es_3t4_per_2013,es_3t4_per_2014,es_3t4_per_2015,es_3t4_per_2016,es_3t4_per_2017,es_3t4_per_2018,es_3t4_per_2019,hs_18t24_per_2012,hs_18t24_per_2013,hs_18t24_per_2014,hs_18t24_per_2015,hs_18t24_per_2016,hs_18t24_per_2017,hs_18t24_per_2018,hs_18t24_per_2019,emp_r_2012,emp_r_2013,emp_r_2014,emp_r_2015,emp_r_2016,emp_r_2017,emp_r_2018,emp_r_2019,his_per_2012,his_per_2013,his_per_2014,his_per_2015,his_per_2016,his_per_2017,his_per_2018,his_per_2019,as_per_2012,as_per_2013,as_per_2014,as_per_2015,as_per_2016,as_per_2017,as_per_2018,as_per_2019,bl_per_2012,bl_per_2013,bl_per_2014,bl_per_2015,bl_per_2016,bl_per_2017,bl_per_2018,bl_per_2019,wh_per_2012,wh_per_2013,wh_per_2014,wh_per_2015,wh_per_2016,wh_per_2017,wh_per_2018,wh_per_2019,pop_18t24E_2012,pop_18t24E_2013,pop_18t24E_2014,pop_18t24E_2015,pop_18t24E_2016,pop_18t24E_2017,pop_18t24E_2018,pop_18t24E_2019
4850920,"New Fairview city, Texas",45,34,49,91,306,27,202,682,23,0,61,313,37,30,13,437,0,653,72.7,73.8,64.4,11.7,Place,1012,,,,,,,,53688,,,,,,,,0.2961,,,,,,,,280,,,,,,,,71,,,,,,,,34,,,,,,,,0.0701581027667984,,,,,,,,0.121428571428571,,,,,,,,0.194888178913738,,,,,,,,0,,,,,,,,0.26530612244898,,,,,,,,0.936708860759494,,,,,,,,0.5565,,,,,,,,0.199604743083004,,,,,,,,0,,,,,,,,0.0227272727272727,,,,,,,,0.673913043478261,,,,,,,,79,,,,,,,
4850920,"New Fairview city, Texas",50,37,43,97,332,24,240,737,16,0,70,350,40,30,11,483,0,708,72.9,79.8,58.9,8.6,Place,,1102,,,,,,,,54135,,,,,,,,0.2856,,,,,,,,299,,,,,,,,72,,,,,,,,29,,,,,,,,0.0653357531760436,,,,,,,,0.0969899665551839,,,,,,,,0.2,,,,,,,,0,,,,,,,,0.255813953488372,,,,,,,,0.919540229885057,,,,,,,,0.5505,,,,,,,,0.217785843920145,,,,,,,,0,,,,,,,,0.014519056261343,,,,,,,,0.668784029038113,,,,,,,,87,,,,,,
4850920,"New Fairview city, Texas",62,39,63,117,253,26,257,690,16,10,72,367,42,21,21,482,0,693,74.1,81.5,48.9,11.8,Place,,,1090,,,,,,,,54536,,,,,,,,0.3187,,,,,,,,285,,,,,,,,70,,,,,,,,24,,,,,,,,0.0642201834862385,,,,,,,,0.0842105263157895,,,,,,,,0.196185286103542,,,,,,,,0,,,,,,,,0.333333333333333,,,,,,,,0.831683168316832,,,,,,,,0.54075,,,,,,,,0.235779816513762,,,,,,,,0.0091743119266055,,,,,,,,0.0146788990825688,,,,,,,,0.63302752293578,,,,,,,,101,,,,,
4850920,"New Fairview city, Texas",44,29,61,122,224,48,215,722,0,5,50,365,18,16,15,462,0,680,42.2,87.5,72.2,76.6,Place,,,,1010,,,,,,,,53229,,,,,,,,0.3559,,,,,,,,248,,,,,,,,88,,,,,,,,33,,,,,,,,0.0871287128712871,,,,,,,,0.133064516129032,,,,,,,,0.136986301369863,,,,,,,,0,,,,,,,,0.245901639344262,,,,,,,,0.493150684931507,,,,,,,,0.69625,,,,,,,,0.212871287128713,,,,,,,,0.00495049504950495,,,,,,,,0,,,,,,,,0.714851485148515,,,,,,,,73,,,,
4850920,"New Fairview city, Texas",83,42,64,113,297,60,288,826,0,4,44,390,48,24,8,591,0,771,46.7,89.7,69.9,79.3,Place,,,,,1216,,,,,,,,55455,,,,,,,,0.3504,,,,,,,,310,,,,,,,,93,,,,,,,,31,,,,,,,,0.0764802631578947,,,,,,,,0.1,,,,,,,,0.112820512820513,,,,,,,,0,,,,,,,,0.125,,,,,,,,0.768,,,,,,,,0.714,,,,,,,,0.236842105263158,,,,,,,,0.00328947368421053,,,,,,,,0,,,,,,,,0.679276315789474,,,,,,,,125,,,
4850920,"New Fairview city, Texas",88,36,51,100,296,48,306,803,0,8,51,387,55,13,0,573,0,762,73.1,78.2,72.9,76,Place,,,,,,1219,,,,,,,,62031,,,,,,,,0.3613,,,,,,,,333,,,,,,,,89,,,,,,,,26,,,,,,,,0.0730106644790812,,,,,,,,0.0780780780780781,,,,,,,,0.131782945736434,,,,,,,,0,,,,,,,,0,,,,,,,,0.887096774193548,,,,,,,,0.7505,,,,,,,,0.251025430680886,,,,,,,,0.00656275635767022,,,,,,,,0,,,,,,,,0.658736669401149,,,,,,,,124,,
4850920,"New Fairview city, Texas",84,39,50,82,329,63,267,891,0,13,44,408,55,21,3,627,0,845,69.6,74.7,68.7,85,Place,,,,,,,1273,,,,,,,,67500,,,,,,,,0.3756,,,,,,,,305,,,,,,,,109,,,,,,,,30,,,,,,,,0.0856245090337785,,,,,,,,0.0983606557377049,,,,,,,,0.107843137254902,,,,,,,,0,,,,,,,,0.06,,,,,,,,0.894308943089431,,,,,,,,0.745,,,,,,,,0.209740769835035,,,,,,,,0.0102120974076984,,,,,,,,0,,,,,,,,0.699921445404556,,,,,,,,123,
4850920,"New Fairview city, Texas",57,27,50,49,379,80,212,977,6,0,42,400,42,15,3,614,0,848,83.5,47.5,75.1,88.8,Place,,,,,,,,1347,,,,,,,,72500,,,,,,,,0.339,,,,,,,,415,,,,,,,,55,,,,,,,,14,,,,,,,,0.0408314773570898,,,,,,,,0.0337349397590361,,,,,,,,0.105,,,,,,,,0,,,,,,,,0.06,,,,,,,,1,,,,,,,,0.73725,,,,,,,,0.157386785449146,,,,,,,,0,,,,,,,,0.0044543429844098,,,,,,,,0.725315515961396,,,,,,,,84
4811428,"Burleson city, Texas",1234,1358,1510,1037,5500,4723,4284,30769,1162,230,3284,13177,700,535,134,18108,97,23206,83.4,85.7,67.6,24.1,Place,36879,,,,,,,,68528,,,,,,,,0.357,,,,,,,,10858,,,,,,,,2472,,,,,,,,1006,,,,,,,,0.0670300170828927,,,,,,,,0.0926505802173513,,,,,,,,0.249222129468012,,,,,,,,0.0053567483984979,,,,,,,,0.0887417218543046,,,,,,,,0.540123456790123,,,,,,,,0.652,,,,,,,,0.116163670381518,,,,,,,,0.00623661162179018,,,,,,,,0.0315084465413921,,,,,,,,0.834323056482009,,,,,,,,2592,,,,,,,
4811428,"Burleson city, Texas",1195,1456,1333,1132,5817,5012,4446,31769,1337,176,3579,13545,534,529,138,18468,125,23906,80.2,84.1,70.4,25.3,Place,,38165,,,,,,,,67701,,,,,,,,0.3647,,,,,,,,11452,,,,,,,,2708,,,,,,,,1040,,,,,,,,0.0709550635398926,,,,,,,,0.0908138316451275,,,,,,,,0.264230343300111,,,,,,,,0.00676846437080355,,,,,,,,0.103525881470368,,,,,,,,0.402866842700868,,,,,,,,0.65,,,,,,,,0.116494170051094,,,,,,,,0.00461155508974191,,,,,,,,0.0350320974715053,,,,,,,,0.83241189571597,,,,,,,,2651,,,,,,
