GEOID,NAME,tot_popE,tot_popM,pop_u18E,pop_u18M,pop_bpE,pop_bpM,bp_u18E,bp_u18M,cbp_perE,cbp_perM,year
48085030100,"Census Tract 301, Collin County, Texas",6316,535,,,7.2,2.7,132,123,8.6,7.8,2012
48085030201,"Census Tract 302.01, Collin County, Texas",2308,353,,,7,4.5,0,13,0,6.7,2012
48085030202,"Census Tract 302.02, Collin County, Texas",2108,220,,,11.8,3.2,12,20,3,5,2012
48085030203,"Census Tract 302.03, Collin County, Texas",13828,720,,,6.2,1.9,963,464,19.8,9.1,2012
48085030301,"Census Tract 303.01, Collin County, Texas",2583,241,,,3.2,2.1,47,78,6.9,11.2,2012
48085030302,"Census Tract 303.02, Collin County, Texas",1967,224,,,3.3,2,0,13,0,5.7,2012
48085030303,"Census Tract 303.03, Collin County, Texas",4793,298,,,2.9,1.6,58,69,3.2,3.7,2012
48085030304,"Census Tract 303.04, Collin County, Texas",2722,340,,,8.4,3.3,224,137,20.7,12.7,2012
48085030305,"Census Tract 303.05, Collin County, Texas",8109,499,,,6.7,3.1,212,176,8.8,7.5,2012
48085030403,"Census Tract 304.03, Collin County, Texas",4959,273,,,5.3,2.7,132,127,9.7,8.8,2012
48085030404,"Census Tract 304.04, Collin County, Texas",5766,391,,,6.8,2.8,396,383,24.3,22.1,2012
48085030405,"Census Tract 304.05, Collin County, Texas",4506,316,,,10.5,4.1,141,125,13,11.3,2012
48085030406,"Census Tract 304.06, Collin County, Texas",2574,363,,,14.7,6,49,61,8.4,9.5,2012
48085030407,"Census Tract 304.07, Collin County, Texas",3743,259,,,5.8,2.8,18,29,1.4,2.3,2012
48085030408,"Census Tract 304.08, Collin County, Texas",6531,724,,,12.6,6.1,318,307,17,14.6,2012
48085030504,"Census Tract 305.04, Collin County, Texas",2370,328,,,7.1,7,120,155,26,28.1,2012
48085030505,"Census Tract 305.05, Collin County, Texas",2857,471,,,13.3,6.9,0,13,0,5.7,2012
48085030506,"Census Tract 305.06, Collin County, Texas",2814,250,,,2.5,1.6,32,68,2.9,6.7,2012
48085030507,"Census Tract 305.07, Collin County, Texas",1779,77,,,2.3,2.1,24,31,4.1,5.1,2012
48085030508,"Census Tract 305.08, Collin County, Texas",5744,573,,,6.4,2.9,38,58,2.3,3.5,2012
48085030509,"Census Tract 305.09, Collin County, Texas",2403,148,,,7.1,3.2,0,13,0,5,2012
48085030510,"Census Tract 305.10, Collin County, Texas",2777,217,,,7.9,3.2,18,31,2.3,4.1,2012
48085030511,"Census Tract 305.11, Collin County, Texas",4834,331,,,8.6,6.1,80,92,5.3,6.1,2012
48085030512,"Census Tract 305.12, Collin County, Texas",4413,338,,,3.4,2.2,13,23,0.7,1.2,2012
48085030513,"Census Tract 305.13, Collin County, Texas",3948,399,,,7,5,67,75,6.8,7.5,2012
48085030514,"Census Tract 305.14, Collin County, Texas",6942,350,,,8.1,2.8,49,57,2.2,2.5,2012
48085030515,"Census Tract 305.15, Collin County, Texas",6529,638,,,8,2.5,109,143,4.8,5.9,2012
48085030516,"Census Tract 305.16, Collin County, Texas",5119,293,,,3.7,2.1,274,194,15.9,11.3,2012
48085030517,"Census Tract 305.17, Collin County, Texas",5759,355,,,4.3,2.4,20,37,0.9,1.7,2012
48085030518,"Census Tract 305.18, Collin County, Texas",1803,212,,,3.1,2.5,6,12,0.8,1.6,2012
48085030519,"Census Tract 305.19, Collin County, Texas",1440,197,,,3.1,2.9,0,13,0,9.6,2012
48085030520,"Census Tract 305.20, Collin County, Texas",4378,334,,,6.4,3.2,83,80,6,5.6,2012
48085030521,"Census Tract 305.21, Collin County, Texas",3155,304,,,3.2,2.3,0,13,0,2.9,2012
48085030522,"Census Tract 305.22, Collin County, Texas",3983,353,,,4.6,2.3,44,51,2.9,3.4,2012
48085030523,"Census Tract 305.23, Collin County, Texas",7842,650,,,7.5,2.7,219,236,8.6,8.7,2012
48085030524,"Census Tract 305.24, Collin County, Texas",2212,162,,,5.6,4.1,0,13,0,5.2,2012
48085030525,"Census Tract 305.25, Collin County, Texas",6424,365,,,6.6,2.5,95,93,4.6,4.3,2012
48085030526,"Census Tract 305.26, Collin County, Texas",7568,591,,,3.8,2.3,88,88,3.2,3.2,2012
48085030527,"Census Tract 305.27, Collin County, Texas",3888,421,,,8.5,2.9,15,31,1.3,2.7,2012
48085030528,"Census Tract 305.28, Collin County, Texas",7116,702,,,8.8,4.2,81,74,3.5,3.2,2012
48085030529,"Census Tract 305.29, Collin County, Texas",3573,421,,,6.5,6.2,38,62,3.5,5.6,2012
48085030530,"Census Tract 305.30, Collin County, Texas",6448,378,,,4.4,1.3,88,90,4.4,4.5,2012
48085030531,"Census Tract 305.31, Collin County, Texas",5415,334,,,3.7,1.8,166,160,9.3,8.3,2012
48085030601,"Census Tract 306.01, Collin County, Texas",8833,517,,,8.1,2.4,90,118,3.6,4.7,2012
48085030603,"Census Tract 306.03, Collin County, Texas",7206,887,,,7.6,4,182,236,7.9,9.7,2012
48085030604,"Census Tract 306.04, Collin County, Texas",2961,222,,,9.6,2.6,17,27,2.3,3.7,2012
48085030605,"Census Tract 306.05, Collin County, Texas",5962,455,,,9,2.5,60,76,3.2,4.1,2012
48085030701,"Census Tract 307.01, Collin County, Texas",3478,724,,,18.7,4.7,289,242,37.6,22.7,2012
48085030702,"Census Tract 307.02, Collin County, Texas",4460,484,,,10.3,3.8,453,264,37.9,18.2,2012
48085030801,"Census Tract 308.01, Collin County, Texas",3679,545,,,12.6,4.5,224,205,24.3,18.6,2012
48085030802,"Census Tract 308.02, Collin County, Texas",5944,902,,,12.5,3.4,680,201,34.9,11.3,2012
48085030900,"Census Tract 309, Collin County, Texas",9636,970,,,10.3,3.4,1139,427,38.8,12.8,2012
48085031001,"Census Tract 310.01, Collin County, Texas",6669,500,,,7.2,2.2,174,133,10.4,7.9,2012
48085031003,"Census Tract 310.03, Collin County, Texas",4115,340,,,10.8,4.5,270,159,24.8,13.3,2012
48085031004,"Census Tract 310.04, Collin County, Texas",5431,489,,,3.9,2.2,134,118,8.7,7.7,2012
48085031100,"Census Tract 311, Collin County, Texas",9876,911,,,10.1,2.7,461,259,18.7,9.5,2012
48085031201,"Census Tract 312.01, Collin County, Texas",5140,451,,,6.2,1.6,87,58,6.7,4.2,2012
48085031202,"Census Tract 312.02, Collin County, Texas",3964,587,,,7.1,3.1,113,139,9.2,10.8,2012
48085031308,"Census Tract 313.08, Collin County, Texas",6198,573,,,9,2.7,114,102,6,5.1,2012
48085031309,"Census Tract 313.09, Collin County, Texas",9484,594,,,8,2.5,51,62,1.6,1.9,2012
48085031310,"Census Tract 313.10, Collin County, Texas",9131,530,,,6.9,2.1,102,104,3.8,3.8,2012
48085031311,"Census Tract 313.11, Collin County, Texas",9072,541,,,5.2,2.1,32,53,1.3,2.1,2012
48085031312,"Census Tract 313.12, Collin County, Texas",6260,454,,,6.1,2.1,102,86,7.1,6.3,2012
48085031313,"Census Tract 313.13, Collin County, Texas",12067,563,,,5.2,1.3,233,199,5.2,4.4,2012
48085031314,"Census Tract 313.14, Collin County, Texas",2133,565,,,4.6,3.2,0,13,0,5.8,2012
48085031315,"Census Tract 313.15, Collin County, Texas",16519,864,,,5.5,1.4,541,339,9.2,5.6,2012
48085031316,"Census Tract 313.16, Collin County, Texas",6384,398,,,4.7,1.9,60,76,2.7,3.5,2012
48085031317,"Census Tract 313.17, Collin County, Texas",7774,493,,,5.8,1.6,72,77,3,3.2,2012
48085031405,"Census Tract 314.05, Collin County, Texas",17014,612,,,3.5,1.1,78,98,1.3,1.6,2012
48085031406,"Census Tract 314.06, Collin County, Texas",16580,807,,,5.2,1.2,529,584,9.1,9.7,2012
48085031407,"Census Tract 314.07, Collin County, Texas",7875,554,,,7,1.8,72,87,3.8,4.8,2012
48085031408,"Census Tract 314.08, Collin County, Texas",3407,272,,,4.1,1.9,122,111,13.1,11.4,2012
48085031409,"Census Tract 314.09, Collin County, Texas",10305,511,,,4.1,1.2,181,177,5.3,5.1,2012
48085031410,"Census Tract 314.10, Collin County, Texas",8572,497,,,7.2,1.7,180,207,7.9,9.1,2012
48085031411,"Census Tract 314.11, Collin County, Texas",5158,421,,,3.2,1.7,12,19,0.6,1,2012
48085031504,"Census Tract 315.04, Collin County, Texas",6339,388,,,5.6,2.3,134,110,8.2,6.7,2012
48085031505,"Census Tract 315.05, Collin County, Texas",8058,356,,,4,1.4,30,33,1.1,1.3,2012
48085031506,"Census Tract 315.06, Collin County, Texas",7986,582,,,9.2,2.4,220,164,9.6,7,2012
48085031507,"Census Tract 315.07, Collin County, Texas",3984,306,,,7.9,3.8,117,166,10.2,13.1,2012
48085031508,"Census Tract 315.08, Collin County, Texas",5461,487,,,9.5,3.5,75,55,6.1,4.9,2012
48085031611,"Census Tract 316.11, Collin County, Texas",3601,315,,,7.3,4,343,357,35.7,30.7,2012
48085031612,"Census Tract 316.12, Collin County, Texas",6557,525,,,7.1,2,109,131,6.3,7.5,2012
48085031613,"Census Tract 316.13, Collin County, Texas",5351,305,,,6,2,82,104,7.4,9.1,2012
48085031621,"Census Tract 316.21, Collin County, Texas",5509,509,,,9.8,5.4,67,104,8.4,13.4,2012
48085031622,"Census Tract 316.22, Collin County, Texas",5382,469,,,6.7,2.2,29,46,2.7,4.3,2012
48085031623,"Census Tract 316.23, Collin County, Texas",3105,193,,,10.4,4.9,48,64,6.4,8.2,2012
48085031624,"Census Tract 316.24, Collin County, Texas",3724,357,,,6.1,3.5,414,184,41.8,15,2012
48085031625,"Census Tract 316.25, Collin County, Texas",4208,232,,,6.6,2.7,0,13,0,5,2012
48085031626,"Census Tract 316.26, Collin County, Texas",2480,150,,,7,2.2,22,33,4,6,2012
48085031627,"Census Tract 316.27, Collin County, Texas",5047,287,,,7,2.2,75,73,6.6,6.3,2012
48085031628,"Census Tract 316.28, Collin County, Texas",3616,294,,,5.8,3,0,13,0,3.8,2012
48085031629,"Census Tract 316.29, Collin County, Texas",3406,427,,,5.3,2.3,203,133,19.7,12.5,2012
48085031630,"Census Tract 316.30, Collin County, Texas",4306,259,,,6.9,2.1,51,49,5,4.7,2012
48085031631,"Census Tract 316.31, Collin County, Texas",4690,362,,,8.3,3,296,249,23.5,18.7,2012
48085031632,"Census Tract 316.32, Collin County, Texas",5945,383,,,12.2,3.8,0,18,0,3,2012
48085031633,"Census Tract 316.33, Collin County, Texas",3644,278,,,11.6,4.4,35,37,4.9,5.5,2012
48085031634,"Census Tract 316.34, Collin County, Texas",3059,371,,,10.2,3.6,130,130,15.6,13.6,2012
48085031635,"Census Tract 316.35, Collin County, Texas",4183,390,,,8.8,2.8,46,47,3.8,4,2012
48085031636,"Census Tract 316.36, Collin County, Texas",6433,434,,,8,3.1,26,42,1.8,2.9,2012
48085031637,"Census Tract 316.37, Collin County, Texas",6998,333,,,7.7,2.1,0,18,0,1.9,2012
48085031638,"Census Tract 316.38, Collin County, Texas",7274,282,,,6.2,1.5,200,191,7.9,7.4,2012
48085031639,"Census Tract 316.39, Collin County, Texas",5898,331,,,5,2.3,35,42,1.9,2.3,2012
48085031640,"Census Tract 316.40, Collin County, Texas",7066,613,,,7.7,2.6,310,182,16.4,9,2012
48085031641,"Census Tract 316.41, Collin County, Texas",6632,301,,,5.1,1.7,63,68,2.7,2.9,2012
48085031642,"Census Tract 316.42, Collin County, Texas",4650,230,,,6,2.2,0,13,0,3,2012
48085031643,"Census Tract 316.43, Collin County, Texas",4232,261,,,7.3,3.4,72,67,6.9,6.3,2012
48085031645,"Census Tract 316.45, Collin County, Texas",2057,132,,,4.2,1.8,25,23,3.6,3.2,2012
48085031646,"Census Tract 316.46, Collin County, Texas",5458,285,,,8.1,1.8,0,18,0,2.2,2012
48085031647,"Census Tract 316.47, Collin County, Texas",3448,304,,,6.3,2.7,28,44,3,4.7,2012
48085031648,"Census Tract 316.48, Collin County, Texas",7160,522,,,7.6,2.3,87,98,4.2,4.8,2012
48085031649,"Census Tract 316.49, Collin County, Texas",4636,300,,,4.5,2.2,46,53,4.6,5.3,2012
48085031652,"Census Tract 316.52, Collin County, Texas",7811,547,,,7.3,2.4,38,44,1.8,2,2012
48085031653,"Census Tract 316.53, Collin County, Texas",6465,428,,,5.2,2.5,84,72,5.3,4.6,2012
48085031654,"Census Tract 316.54, Collin County, Texas",3783,189,,,5.9,2.1,22,33,2.1,3.1,2012
48085031655,"Census Tract 316.55, Collin County, Texas",4521,372,,,5.7,2.8,111,136,11.7,13.1,2012
48085031656,"Census Tract 316.56, Collin County, Texas",2337,251,,,9.5,4.3,0,13,0,5.1,2012
48085031657,"Census Tract 316.57, Collin County, Texas",1169,295,,,13.9,9.4,0,13,0,18.8,2012
48085031658,"Census Tract 316.58, Collin County, Texas",4003,440,,,8.1,3.9,49,57,12.2,14.6,2012
48085031659,"Census Tract 316.59, Collin County, Texas",1730,375,,,11.4,7.8,0,13,0,15.9,2012
48085031660,"Census Tract 316.60, Collin County, Texas",3766,519,,,8.7,5.3,19,32,2.1,3.6,2012
48085031661,"Census Tract 316.61, Collin County, Texas",3015,212,,,3.2,2.2,29,47,2.7,4.3,2012
48085031662,"Census Tract 316.62, Collin County, Texas",5147,385,,,3.8,1.8,0,18,0,2,2012
48085031663,"Census Tract 316.63, Collin County, Texas",3293,366,,,3.7,2,20,31,2.1,3.3,2012
48085031664,"Census Tract 316.64, Collin County, Texas",4203,314,,,8.6,3,7,15,0.6,1.2,2012
48085031704,"Census Tract 317.04, Collin County, Texas",3638,284,,,13.4,3.9,79,126,13.5,19.5,2012
48085031706,"Census Tract 317.06, Collin County, Texas",2319,150,,,4.1,2.2,0,13,0,8.1,2012
48085031708,"Census Tract 317.08, Collin County, Texas",3630,310,,,5.1,2.8,166,119,32.7,17.9,2012
48085031709,"Census Tract 317.09, Collin County, Texas",4518,313,,,8.6,4.8,31,73,3.7,8.2,2012
48085031711,"Census Tract 317.11, Collin County, Texas",2834,302,,,5.7,3.2,0,13,0,9.4,2012
48085031712,"Census Tract 317.12, Collin County, Texas",5013,491,,,9.3,2.9,0,18,0,5.6,2012
48085031713,"Census Tract 317.13, Collin County, Texas",3904,402,,,14.7,4.8,116,123,17.4,16.5,2012
48085031714,"Census Tract 317.14, Collin County, Texas",5184,522,,,13.6,4.3,151,153,21.9,20.1,2012
48085031715,"Census Tract 317.15, Collin County, Texas",2445,212,,,4.1,2.7,0,13,0,7.4,2012
48085031716,"Census Tract 317.16, Collin County, Texas",1984,255,,,9.5,5.6,39,52,12.8,17.2,2012
48085031717,"Census Tract 317.17, Collin County, Texas",2640,568,,,17.6,6,245,365,47.9,47.5,2012
48085031718,"Census Tract 317.18, Collin County, Texas",2744,365,,,6.4,3.4,88,123,14.9,18.1,2012
