GEOID,NAME,popm_18t24E,popf_18t24E,pop_3t4E,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_o25E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,type,tot_popE_2012,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2017,cbp_per_2018,cbp_per_2019,rohh_per_2012,rohh_per_2017,rohh_per_2018,rohh_per_2019,emp_pubtr_per_2012,emp_pubtr_per_2017,emp_pubtr_per_2018,emp_pubtr_per_2019,es_3t4_per_2012,es_3t4_per_2017,es_3t4_per_2018,es_3t4_per_2019,hs_18t24_per_2012,hs_18t24_per_2017,hs_18t24_per_2018,hs_18t24_per_2019,emp_r_2012,emp_r_2017,emp_r_2018,emp_r_2019,his_per_2012,his_per_2017,his_per_2018,his_per_2019,as_per_2012,as_per_2017,as_per_2018,as_per_2019,bl_per_2012,bl_per_2017,bl_per_2018,bl_per_2019,wh_per_2012,wh_per_2017,wh_per_2018,wh_per_2019,pop_18t24E_2012,pop_18t24E_2017,pop_18t24E_2018,pop_18t24E_2019
75001,ZCTA5 75001,581,720,444,953,960,4470,3897,6482,1482,957,5363,7001,89,46,85,8329,47,9478,85.2,84.1,76.5,30.6,Zip,13033,,,,55855,,,,0.449,,,,2232,,,,1933,,,,721,,,,0.148315813703675,,,,0.323028673835125,,,,0.766033423796601,,,,0.00564293432584944,,,,0.191441441441441,,,,0.136817832436587,,,,0.691,,,,0.299010204864575,,,,0.0734289879536561,,,,0.11371134811632,,,,0.497352873475025,,,,1301,,,
75002,ZCTA5 75002,1854,1970,2187,1427,5191,16748,7722,43138,6538,4858,4155,21082,631,573,188,32697,558,40042,83.3,84.3,73.2,28.8,Zip,64067,,,,91950,,,,0.3728,,,,19876,,,,3561,,,,1459,,,,0.0555824371361231,,,,0.0734051116924935,,,,0.197087562849825,,,,0.017065785851913,,,,0.0859625057155921,,,,0.330020920502092,,,,0.674,,,,0.120530070082882,,,,0.0758268687467807,,,,0.102049417016561,,,,0.673326361465341,,,,3824,,,
75006,ZCTA5 75006,2322,1799,1094,6693,4672,7856,20975,18325,3321,3285,7303,16710,641,330,124,24381,237,30379,83.1,81.7,73,30.6,Zip,46557,,,,57002,,,,0.407,,,,11995,,,,6102,,,,2895,,,,0.131065145950126,,,,0.241350562734473,,,,0.43704368641532,,,,0.00972068413928879,,,,0.113345521023766,,,,0.311089541373453,,,,0.671,,,,0.450523014799064,,,,0.070558670017398,,,,0.0713319157162188,,,,0.393603539746977,,,,4121,,,
75007,ZCTA5 75007,2208,1908,1403,2992,5721,12543,11969,26543,4461,6960,4554,18422,481,497,178,29159,325,34672,84.1,87.3,78.8,37.5,Zip,51735,,,,80000,,,,0.39,,,,12852,,,,3333,,,,1282,,,,0.0644244708611192,,,,0.0997510115157174,,,,0.247204429486484,,,,0.0111457868925546,,,,0.126870990734141,,,,0.233722060252673,,,,0.71925,,,,0.231352082729294,,,,0.13453174833285,,,,0.0862278921426501,,,,0.513056924712477,,,,4116,,,
75009,ZCTA5 75009,280,278,201,403,1032,1512,1631,6196,225,19,578,2752,115,118,101,4200,63,5290,84.4,85.4,65.3,32.6,Zip,8342,,,,88682,,,,0.4353,,,,2494,,,,804,,,,266,,,,0.0963797650443539,,,,0.106655974338412,,,,0.210029069767442,,,,0.015,,,,0.502487562189055,,,,0.412186379928315,,,,0.66925,,,,0.195516662670822,,,,0.00227763126348597,,,,0.0269719491728602,,,,0.742747542555742,,,,558,,,
75010,ZCTA5 75010,884,799,321,516,2637,6043,2924,11091,3020,5028,3820,8310,234,348,25,12666,223,15332,86,86.5,63.2,38.1,Zip,22848,,,,74578,,,,0.3908,,,,5833,,,,958,,,,237,,,,0.0419292717086835,,,,0.0406308931938968,,,,0.459687123947052,,,,0.0176061897994631,,,,0.0778816199376947,,,,0.27807486631016,,,,0.6845,,,,0.12797619047619,,,,0.220063025210084,,,,0.132177871148459,,,,0.485425420168067,,,,1683,,,
75013,ZCTA5 75013,749,601,1102,414,1168,11811,1690,20302,999,5878,2000,9995,159,191,92,14487,283,18746,81.8,82.6,64.5,23.5,Zip,29971,,,,129124,,,,0.3712,,,,9875,,,,983,,,,237,,,,0.0327983717593674,,,,0.024,,,,0.200100050025012,,,,0.0195347552978532,,,,0.0834845735027223,,,,0.235555555555556,,,,0.631,,,,0.0563878415801942,,,,0.196122918821527,,,,0.0333322211471089,,,,0.677388141870475,,,,1350,,,
75019,ZCTA5 75019,1274,1096,911,664,2276,15149,3880,25892,1794,6872,3900,14064,267,275,115,20311,124,25115,79.6,84,76.6,35.2,Zip,39212,,,,106887,,,,0.4045,,,,11695,,,,1280,,,,391,,,,0.0326430684484342,,,,0.0334330910645575,,,,0.277303754266212,,,,0.00610506622027473,,,,0.126234906695939,,,,0.225316455696203,,,,0.6885,,,,0.098949301234316,,,,0.175252473732531,,,,0.0457513006222585,,,,0.660308068958482,,,,2370,,,
75022,ZCTA5 75022,548,549,676,240,1067,8217,1996,17209,502,2487,324,6912,219,75,80,10282,25,13641,82,83.3,64.4,26.6,Zip,22449,,,,140787,,,,0.369,,,,7698,,,,537,,,,297,,,,0.0239208873446479,,,,0.0385814497272019,,,,0.046875,,,,0.00243143357323478,,,,0.118343195266272,,,,0.399270738377393,,,,0.64075,,,,0.0889126464430487,,,,0.110784444741414,,,,0.022361797852911,,,,0.766582030379972,,,,1097,,,
75023,ZCTA5 75023,2172,1468,1421,1225,4233,12917,7318,28371,3929,5221,5400,17539,1005,594,204,23771,525,30885,80.8,79.6,68.1,33.4,Zip,46339,,,,73814,,,,0.3942,,,,11730,,,,3585,,,,1251,,,,0.0773646388571182,,,,0.106649616368286,,,,0.30788528422373,,,,0.022085734718775,,,,0.143560872624912,,,,0.552197802197802,,,,0.65475,,,,0.157923131703317,,,,0.11266967349317,,,,0.0847881913722782,,,,0.612248861650014,,,,3640,,,
