fid,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"1","48","50920","02411231","4850920",New Fairview,New Fairview city,"25",C1,N,N,G4110,A,"40181285","0","+33.1100280","-097.4575705"
"2","48","11428","02409943","4811428",Burleson,Burleson city,"25",C1,N,N,G4110,A,"67392007","167884","+32.5187200","-097.3409030"
"3","48","15364","02409480","4815364",Cleburne,Cleburne city,"25",C1,N,N,G4110,A,"93906099","7538861","+32.3594978","-097.4170423"
"4","48","38548","02410170","4838548",Keene,Keene city,"25",C1,N,N,G4110,A,"12792856","214155","+32.3961026","-097.3213516"
"5","48","46452","02411023","4846452",Mansfield,Mansfield city,"25",C1,N,N,G4110,A,"94263496","113126","+32.5691876","-097.1205321"
"6","48","75236","02413426","4875236",Venus,Venus town,"43",C1,N,N,G4110,A,"7883294","4087","+32.4307296","-097.1022401"
"7","48","30512","02410637","4830512",Grandview,Grandview city,"25",C1,N,N,G4110,A,"4688953","3159","+32.2682784","-097.1775068"
"8","48","33824","02412750","4833824",Highland Park,Highland Park town,"43",C1,N,N,G4110,A,"5809593","0","+32.8310564","-096.8012347"
"9","48","26604","02410521","4826604",Forney,Forney city,"25",C1,N,N,G4110,A,"36745287","46173","+32.7453337","-096.4487846"
"10","48","08872","02409870","4808872",Blue Ridge,Blue Ridge city,"25",C1,N,N,G4110,A,"2887717","0","+33.2982242","-096.3976949"
"11","48","13684","02409421","4813684",Celina,Celina city,"25",C1,N,N,G4110,A,"35667575","400427","+33.3202369","-096.7857334"
"12","48","41800","02411636","4841800",Lavon,Lavon city,"25",C1,N,N,G4110,A,"6080924","24013","+33.0256853","-096.4392386"
"13","48","47496","02411073","4847496",Melissa,Melissa city,"25",C1,N,N,G4110,A,"26188120","173179","+33.2896747","-096.5559425"
"14","48","38068","02410151","4838068",Josephine,Josephine city,"25",C1,N,N,G4110,A,"4847185","183338","+33.0626838","-096.3156846"
"15","48","48858","02411129","4848858",Mobile City,Mobile City city,"25",C1,N,N,G4110,A,"42041","0","+32.9228728","-096.4111287"
"16","48","45804","01388560","4845804",McLendon-Chisholm,McLendon-Chisholm city,"25",C1,N,N,G4110,A,"24623132","532184","+32.8505774","-096.3920925"
"17","48","17648","02410263","4817648",Cresson,Cresson city,"25",C1,N,N,G4110,A,"29901305","6036","+32.5298607","-097.6153493"
"18","48","59748","02703983","4859748",Providence Village,Providence Village town,"43",C1,N,N,G4110,A,"2933965","3499","+33.2320004","-096.9625692"
"19","48","73592","02412092","4873592",Trenton,Trenton city,"25",C1,N,N,G4110,A,"4849851","4636","+33.4262574","-096.3445939"
"20","48","74756","02413420","4874756",Valley View,Valley View city,"25",C1,N,N,G4110,A,"9157685","11472","+33.4943872","-097.1526405"
"21","48","31616","02410676","4831616",Gunter,Gunter city,"25",C1,N,N,G4110,A,"45559047","289146","+33.4903898","-096.7315460"
