fid,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,ZIP
"1","75098","75098",B5,G6350,S,"85301180","20369529","+33.0121346","-096.5349358",75098
"2","75101","75101",B5,G6350,S,"2130983","0","+32.2700320","-096.7024944",75101
"3","75103","75103",B5,G6350,S,"516576996","8411316","+32.5168758","-095.8836220",75103
"4","75104","75104",B5,G6350,S,"101263678","656110","+32.5801809","-096.9646745",75104
"5","75105","75105",B5,G6350,S,"133025923","1938590","+32.2630103","-096.3876628",75105
"6","75110","75110",B5,G6350,S,"388354968","3480674","+32.0846136","-096.5277676",75110
"7","75114","75114",B5,G6350,S,"112013934","1126841","+32.6105754","-096.4442563",75114
"8","75115","75115",B5,G6350,S,"56807253","95687","+32.5994271","-096.8640746",75115
"9","75116","75116",B5,G6350,S,"13271665","15027","+32.6606604","-096.9118821",75116
"10","75119","75119",B5,G6350,S,"686000140","23750616","+32.3258806","-096.5882377",75119
"11","75124","75124",B5,G6350,S,"240998004","5174699","+32.3260260","-095.9740558",75124
"12","75125","75125",B5,G6350,S,"180443291","2062121","+32.5366996","-096.6217469",75125
"13","75126","75126",B5,G6350,S,"200319914","2406617","+32.7431782","-096.4548996",75126
"14","75132","75132",B5,G6350,S,"3839177","1391","+32.9457476","-096.3738828",75132
"15","75134","75134",B5,G6350,S,"26468508","30531","+32.6176630","-096.7780575",75134
"16","75135","75135",B5,G6350,S,"161008433","230738","+33.0663446","-096.2214374",75135
"17","75137","75137",B5,G6350,S,"15758273","15921","+32.6432116","-096.9164680",75137
"18","75141","75141",B5,G6350,S,"29536870","1989236","+32.6373325","-096.6976088",75141
"19","75142","75142",B5,G6350,S,"449172346","5723766","+32.5681628","-096.2502144",75142
"20","75143","75143",B5,G6350,S,"460607605","63800183","+32.3666864","-096.2450394",75143
"21","75146","75146",B5,G6350,S,"85966214","537290","+32.5645180","-096.7522227",75146
"22","75147","75147",B5,G6350,S,"242805270","6565616","+32.4366759","-096.0795577",75147
"23","75149","75149",B5,G6350,S,"41140070","167560","+32.7733689","-096.6188105",75149
"24","75150","75150",B5,G6350,S,"33060132","31191","+32.8173991","-096.6304156",75150
"25","75152","75152",B5,G6350,S,"105506960","886290","+32.4398710","-096.6780508",75152
"26","75154","75154",B5,G6350,S,"121751212","69148","+32.5217727","-096.8073149",75154
"27","75155","75155",B5,G6350,S,"98553489","1606314","+32.2291128","-096.4755085",75155
"28","75156","75156",B5,G6350,S,"81082561","42082492","+32.2777586","-096.1053322",75156
"29","75157","75157",B5,G6350,S,"4352080","78210","+32.4647560","-096.4395197",75157
"30","75158","75158",B5,G6350,S,"227734418","2879696","+32.4628311","-096.4021313",75158
"31","75159","75159",B5,G6350,S,"155716491","12506540","+32.6045429","-096.5435378",75159
"32","75160","75160",B5,G6350,S,"310745190","2090022","+32.7584080","-096.3013232",75160
"33","75161","75161",B5,G6350,S,"295126234","6841101","+32.7384708","-096.1691657",75161
"34","75164","75164",B5,G6350,S,"5905053","457018","+33.0659705","-096.3087370",75164
"35","75165","75165",B5,G6350,S,"291844376","4388010","+32.3722011","-096.7849441",75165
"36","75166","75166",B5,G6350,S,"34225601","8539367","+33.0130469","-096.4538868",75166
"37","75167","75167",B5,G6350,S,"252731058","1481970","+32.3608294","-096.9155228",75167
"38","75169","75169",B5,G6350,S,"554515988","36281158","+32.7032691","-095.9946662",75169
"39","75172","75172",B5,G6350,S,"30196207","383625","+32.6051769","-096.6743172",75172
"40","75173","75173",B5,G6350,S,"78887266","12670978","+33.0617371","-096.3958247",75173
"41","75180","75180",B5,G6350,S,"19836811","43928","+32.7166057","-096.6200870",75180
"42","75181","75181",B5,G6350,S,"45571168","190796","+32.7238926","-096.5558037",75181
"43","75182","75182",B5,G6350,S,"45537601","5970594","+32.8005250","-096.5475766",75182
"44","75189","75189",B5,G6350,S,"287530768","2585492","+32.9420515","-096.3116602",75189
"45","76001","76001",B5,G6350,S,"26752871","9539","+32.6354992","-097.1488333",76001
"46","76002","76002",B5,G6350,S,"18611847","133379","+32.6218963","-097.0935088",76002
"47","76006","76006",B5,G6350,S,"19558170","123807","+32.7849315","-097.0999145",76006
"48","76008","76008",B5,G6350,S,"191974698","1102859","+32.6957077","-097.6314823",76008
"49","76009","76009",B5,G6350,S,"254565915","4341012","+32.4149366","-097.2000758",76009
"50","76010","76010",B5,G6350,S,"23096333","0","+32.7228197","-097.0802857",76010
"51","76011","76011",B5,G6350,S,"20785488","115994","+32.7542717","-097.0831962",76011
"52","76012","76012",B5,G6350,S,"21180666","208260","+32.7551299","-097.1392422",76012
"53","76013","76013",B5,G6350,S,"23218199","1305168","+32.7193278","-097.1550281",76013
"54","76014","76014",B5,G6350,S,"14924817","22911","+32.6921053","-097.0865168",76014
"55","76015","76015",B5,G6350,S,"11095694","4383","+32.6921858","-097.1333041",76015
"56","76016","76016",B5,G6350,S,"22952753","2569539","+32.6892222","-097.1891296",76016
"57","76017","76017",B5,G6350,S,"26919596","62090","+32.6625128","-097.1640236",76017
"58","76018","76018",B5,G6350,S,"19827302","18438","+32.6645897","-097.0964763",76018
"59","76020","76020",B5,G6350,S,"170936794","13352260","+32.9001956","-097.5611790",76020
"60","76021","76021",B5,G6350,S,"18772217","27046","+32.8529710","-097.1304430",76021
"61","76022","76022",B5,G6350,S,"6916998","0","+32.8306573","-097.1451584",76022
"62","76028","76028",B5,G6350,S,"199914204","358088","+32.5326769","-097.3065472",76028
