GEOID,NAME,tot.popE_13,tot.popM_13,med.incE_13,med.incM_13,giniE_13,giniM_13,less.hsE_13,less.hsM_13,hs.degE_13,hs.degM_13,some.colE_13,some.colM_13,ba.degE_13,ba.degM_13,grad.degE_13,grad.degM_13,tot.degE_13,tot.degM_13,tot.popE_18,tot.popM_18,med.incE_18,med.incM_18,giniE_18,giniM_18,less.hsE_18,less.hsM_18,hs.degE_18,hs.degM_18,some.colE_18,some.colM_18,ba.degE_18,ba.degM_18,grad.degE_18,grad.degM_18,tot.degE_18,tot.degM_18,ADJ_med.inc_13
75098,ZCTA5 75098,48611,990,81413,4790,0.3419,0.0188,2182,413,6991,733,10114,926,8262,676,2198,449,29747,965,56764,1337,93511,5396,0.3416,0.0178,2862,545,8104,782,11004,755,9108,850,3645,568,34723,976,87765.3722135688
75101,ZCTA5 75101,584,153,33438,6445,0.3662,0.074,149,61,87,38,71,34,12,12,5,7,324,79,615,151,45625,14053,0.3585,0.0382,176,58,115,43,64,30,13,18,5,8,373,82,36047.0504228724
75103,ZCTA5 75103,13103,798,50286,7539,0.4221,0.0232,1324,313,3623,518,2976,419,945,222,479,137,9347,585,14458,970,51621,4957,0.4677,0.0547,1384,408,3227,425,3621,436,1413,377,460,138,10105,655,54209.6410540273
75104,ZCTA5 75104,45935,331,67691,2998,0.3943,0.0198,2343,406,5799,513,11136,760,5655,619,3378,428,28311,782,49341,360,70975,3650,0.3887,0.0185,2594,453,7046,603,11737,824,5577,587,3551,441,30505,851,72972.6924509438
75105,ZCTA5 75105,205,114,29500,53305,0.436,0.1127,26,23,57,38,29,20,4,7,11,12,127,44,190,118,41944,21439,0.3211,0.0832,17,13,25,29,68,38,9,9,0,13,119,51,31801.7820286721
75110,ZCTA5 75110,27901,545,40235,3079,0.4435,0.0226,3974,404,5311,460,4821,468,2113,348,941,187,17160,505,29213,616,44598,3592,0.474,0.0281,4686,466,4934,570,6232,621,1717,280,1069,272,18638,525,43374.3966075804
75114,ZCTA5 75114,4548,473,68287,8020,0.3402,0.0442,403,149,812,145,1025,203,354,101,211,100,2805,297,6392,704,67566,10665,0.4123,0.076,783,317,1570,339,1296,218,449,111,156,51,4254,489,73615.1962505739
75115,ZCTA5 75115,49839,102,61729,3913,0.4034,0.0175,2686,444,7485,681,13454,891,6356,590,3050,568,33031,916,52833,110,69512,2303,0.3993,0.0204,3556,678,7646,666,13926,1002,6258,719,3560,545,34946,983,66545.4984016237
75116,ZCTA5 75116,20135,779,53706,3731,0.3724,0.0257,2747,438,3416,408,3359,402,1693,272,737,148,11952,529,20044,736,46472,4074,0.4174,0.0289,2515,349,3431,481,4175,457,1474,248,782,196,12377,661,57896.4917163343
75119,ZCTA5 75119,25867,747,44808,3404,0.4217,0.0226,4017,471,4999,494,4927,512,1265,202,661,189,15869,598,28319,651,56333,3196,0.4191,0.0157,4265,489,6002,535,5103,529,1796,268,759,186,17925,636,48304.2118352793
75124,ZCTA5 75124,4052,518,47500,9309,0.3799,0.0267,536,168,974,216,801,146,238,97,131,70,2680,362,4003,465,50061,7497,0.4129,0.0457,443,144,1133,236,937,220,293,99,191,93,2997,352,51206.2591987093
75125,ZCTA5 75125,6959,1035,45375,9187,0.4375,0.0317,1405,300,1384,232,951,230,277,92,64,45,4081,489,6333,674,59920,8320,0.4178,0.0494,1389,309,1206,268,969,200,212,73,242,107,4018,503,48915.4528661354
75126,ZCTA5 75126,33914,1097,85677,4428,0.3247,0.0199,1571,324,5616,632,7970,752,3851,405,1622,315,20630,678,44740,1178,95309,5222,0.341,0.0166,1914,383,7118,623,9360,658,5660,577,2903,361,26955,796,92362.0772498487
75132,ZCTA5 75132,521,237,65563,15760,0.2449,0.1126,24,31,146,118,135,95,132,118,0,13,437,193,1705,568,80556,15382,0.327,0.1057,39,38,264,142,366,203,187,123,140,97,996,289,70678.6520388416
75134,ZCTA5 75134,19910,952,46971,3863,0.3891,0.0184,1546,266,3747,505,4497,434,1596,406,564,158,11950,646,22337,854,52628,5069,0.403,0.0285,1984,450,3967,539,4889,534,1526,410,657,217,13023,590,50635.9831752121
75135,ZCTA5 75135,5223,582,62800,11708,0.399,0.0406,377,133,1302,251,1226,213,243,78,201,79,3349,370,7725,655,80029,9033,0.3794,0.0436,393,153,1886,303,1883,346,468,148,118,59,4748,450,67700.0647932409
75137,ZCTA5 75137,18865,779,58895,3074,0.3986,0.0382,1817,370,2730,438,4112,402,2411,375,1235,298,12305,544,19586,745,62308,5845,0.3815,0.0242,1569,269,3411,559,4162,466,2045,343,1507,246,12694,519,63490.3712738523
75141,ZCTA5 75141,5347,182,34786,6342,0.3949,0.0392,982,169,1306,195,946,192,230,95,66,47,3530,213,5880,192,37969,4819,0.5151,0.0804,1203,209,1408,183,934,180,157,72,68,51,3770,233,37500.2301576063
75142,ZCTA5 75142,18690,1054,53809,4232,0.4194,0.0251,2562,347,4000,417,3802,351,1160,185,360,119,11884,611,19059,1015,53931,7494,0.4358,0.0241,2568,387,4535,375,3730,372,1040,177,519,140,12392,568,58007.5284468073
75143,ZCTA5 75143,15932,1289,40135,4406,0.4383,0.0235,2730,339,3856,463,2990,390,1079,264,331,98,10986,777,14304,1095,46288,4512,0.4376,0.0209,2083,362,3752,475,2719,300,1102,247,531,146,10187,733,43266.5939566357
75146,ZCTA5 75146,18567,1007,59244,4418,0.3582,0.0249,1797,481,3200,382,4255,653,1678,341,635,181,11565,665,18986,885,57346,4604,0.4102,0.0548,1344,313,3274,494,4264,444,1736,340,856,224,11474,516,63866.6025256491
75147,ZCTA5 75147,8475,1208,45227,8032,0.4223,0.0328,1079,267,2077,341,1354,261,550,208,172,97,5232,635,7052,861,44559,10063,0.5214,0.1051,507,152,2122,405,1308,253,523,175,192,93,4652,514,48755.9049427374
75149,ZCTA5 75149,58427,1652,47739,2907,0.3876,0.0174,7796,712,11076,859,11151,750,3175,409,1702,400,34900,1037,54979,1496,48441,2629,0.3941,0.0144,7988,703,9547,632,10411,730,3179,402,1355,305,32480,936,51463.907534467
75150,ZCTA5 75150,58143,1374,45999,1709,0.3964,0.0174,6648,650,9963,792,12738,814,4371,538,2072,328,35792,880,62452,1566,52439,2034,0.3993,0.0173,7694,733,11618,716,11751,853,4746,508,2088,301,37897,1018,49588.1414080301
